"...1","Justin DiCarlo
Hartford Athletic","Sebastian Anderson
Hartford Athletic","Deshane Beckford
Hartford Athletic","Samuel Careaga
Hartford Athletic","Mamadou Dieng
Hartford Athletic","Adrian Diz Pe
Hartford Athletic","Kyle Edwards
Hartford Athletic","Joseph Farrell
Hartford Athletic","Spencer Gordon
Hartford Athletic","Marlon Hairston
Hartford Athletic","Justin Ingram
Hartford Athletic","Jonathan Jimenez
Hartford Athletic","Beverly Makangila
Hartford Athletic","Junior Moreira
Hartford Athletic","Michee Ngalina
Hartford Athletic","Baboucarr Njie
Hartford Athletic","Adewale Obalola
Hartford Athletic","Jack Panayotou
Hartford Athletic","Thomas Presthus
Hartford Athletic","Kauan Ribeiro
Hartford Athletic","Emmanuel Samadia
Hartford Athletic","Jordan Scarlett
Hartford Athletic","Antony Siaha
Hartford Athletic"
"Games played","0.0","18.0",14,"13.0",18,"13.0",14,"17.0","0.0","16.0","1.0",15,"17.0",10,15,12,13,"2.0","15.0","0.0","16.0","16.0","18.0"
"Minutes played","0.0","1620.0",605,"731.0",1492,"695.0",469,"1365.0","0.0","1140.0","53.0",800,"939.0",618,1082,561,468,"94.0","1176.0","0.0","1434.0","1355.0","1620.0"
"Starts","0.0","18.0",5,"8.0",17,"9.0",4,"15.0","0.0","15.0","1.0",9,"9.0",7,13,7,4,"2.0","13.0","0.0","16.0","15.0","18.0"
"Subbed on","0.0","0.0",9,"5.0",1,"4.0",10,"2.0","0.0","1.0","0.0",6,"8.0",3,2,5,9,"0.0","2.0","0.0","0.0","1.0","0.0"
"Subbed off","0.0","0.0",5,"5.0",6,"5.0",2,"0.0","0.0","11.0","1.0",10,"3.0",4,4,5,2,"2.0","2.0","0.0","1.0","1.0","0.0"
"Goals conceded","0.0","22.0",12,"15.0",19,"9.0",9,"16.0","0.0","12.0","0.0",6,"17.0",6,15,13,6,"3.0","12.0","0.0","17.0","22.0","22.0"
"Saves","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","49.0"
"Catches","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","26.0"
"Punches","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","1.0"
"Goals","0.0","0.0",1,"0.0",9,"0.0",7,"0.0","0.0","0.0","0.0",1,"0.0",1,2,1,1,"0.0","1.0","0.0","0.0","2.0","0.0"
"Penalties","0.0","0.0",0,"0.0",2,"0.0",2,"0.0","0.0","0.0","0.0",0,"0.0",0,1,1,0,"0.0","0.0","0.0","0.0","0.0","0.0"
"Minutes per goal","-","-",605,"-",165.8,"-",67,"-","-","-","-",800,"-",618,541,561,468,"-","1176.0","-","-","677.5","-"
"Shots on target","0.0","0.0",6,"2.0",16,"0.0",12,"1.0","0.0","0.0","0.0",2,"0.0",2,13,3,1,"0.0","3.0","0.0","2.0","2.0","0.0"
"Shooting accuracy","-","0.0",75,"22.2",47.1,"0.0",60,"12.5","-","0.0","-",40,"-",100,54.2,60,33.3,"-","27.3","-","33.3","40.0","-"
"Successful crosses","0.0","7.0",0,"2.0",0,"0.0",0,"0.0","0.0","0.0","0.0",1,"0.0",0,5,3,4,"0.0","0.0","0.0","19.0","0.0","0.0"
"Crossing accuracy","-","25.0",0,"40.0",0,"0.0",0,"-","-","-","-",16.7,"-",0,29.4,17.6,30.8,"-","-","-","21.3","-","-"
"Assists","0.0","3.0",0,"1.0",2,"0.0",0,"1.0","0.0","1.0","0.0",2,"0.0",0,3,0,1,"0.0","0.0","0.0","2.0","0.0","0.0"
"Key Passes","0.0","27.0",2,"8.0",11,"1.0",7,"3.0","0.0","3.0","0.0",1,"1.0",1,9,7,6,"0.0","1.0","0.0","28.0","4.0","0.0"
"Penalties won","0.0","1.0",1,"0.0",1,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,1,0,0,"0.0","1.0","0.0","0.0","0.0","0.0"
"Offsides","0.0","2.0",2,"0.0",14,"0.0",1,"0.0","0.0","0.0","0.0",0,"0.0",0,14,0,1,"0.0","0.0","0.0","2.0","0.0","0.0"
"Tackles won","0.0","31.0",7,"4.0",2,"8.0",5,"6.0","0.0","15.0","1.0",7,"12.0",7,5,12,11,"1.0","7.0","0.0","15.0","9.0","1.0"
"Tackles success rate","-","67.4",77.8,"66.7",25,"80.0",62.5,"66.7","-","48.4","50.0",77.8,"75.0",58.3,62.5,48,91.7,"100.0","63.6","-","62.5","56.3","50.0"
"Clearances","0.0","50.0",6,"1.0",10,"51.0",6,"87.0","0.0","22.0","0.0",4,"16.0",11,5,15,3,"1.0","61.0","0.0","39.0","65.0","6.0"
"Blocks","0.0","4.0",1,"0.0",2,"8.0",0,"16.0","0.0","3.0","0.0",1,"6.0",0,0,0,0,"1.0","6.0","0.0","3.0","11.0","0.0"
"Interceptions","0.0","17.0",4,"5.0",6,"11.0",3,"10.0","0.0","31.0","0.0",8,"9.0",6,4,5,4,"1.0","13.0","0.0","25.0","14.0","0.0"
"Successful passes","0.0","446.0",91,"278.0",142,"245.0",52,"453.0","0.0","366.0","34.0",132,"248.0",151,145,183,56,"9.0","375.0","0.0","410.0","486.0","282.0"
"Passing accuracy","-","75.5",75.8,"87.1",66,"74.2",60.5,"76.4","-","84.9","91.9",76.3,"84.1",80.7,69.7,75,62.9,"69.2","77.0","-","76.1","77.9","64.8"
"Passing accuracy in opponents' half (%)","-","59.0",63.6,"81.1",58,"51.5",50,"53.9","-","75.0","83.3",70.8,"77.3",71.7,61.9,59.2,58.7,"80.0","63.2","-","55.7","60.6","26.4"
"Successful dribbles","0.0","13.0",9,"5.0",14,"3.0",5,"2.0","0.0","3.0","0.0",7,"2.0",5,26,11,5,"0.0","2.0","0.0","30.0","6.0","0.0"
"Fouls won","0.0","28.0",9,"6.0",31,"6.0",12,"11.0","0.0","15.0","1.0",12,"7.0",4,18,13,14,"1.0","8.0","0.0","28.0","16.0","4.0"
"Fouls conceded","0.0","31.0",11,"6.0",26,"20.0",10,"11.0","0.0","19.0","1.0",20,"17.0",5,8,17,22,"0.0","10.0","0.0","18.0","18.0","0.0"
