"...1","Antony Siaha
Hartford Athletic","Sebastian Anderson
Hartford Athletic","Deshane Beckford
Hartford Athletic","Samuel Careaga
Hartford Athletic","Justin DiCarlo
Hartford Athletic","Mamadou Dieng
Hartford Athletic","Adrian Diz Pe
Hartford Athletic","Kyle Edwards
Hartford Athletic","Joseph Farrell
Hartford Athletic","Spencer Gordon
Hartford Athletic","Marlon Hairston
Hartford Athletic","Justin Ingram
Hartford Athletic","Jonathan Jimenez
Hartford Athletic","Beverly Makangila
Hartford Athletic","Junior Moreira
Hartford Athletic","Michee Ngalina
Hartford Athletic","Baboucarr Njie
Hartford Athletic","Adewale Obalola
Hartford Athletic","Jack Panayotou
Hartford Athletic","Thomas Presthus
Hartford Athletic","Kauan Ribeiro
Hartford Athletic","Emmanuel Samadia
Hartford Athletic","Jordan Scarlett
Hartford Athletic"
"Fouls won","4.0","28.0",9,"6.0","0.0",29,"12.0",13,"16.0","0.0","15.0","1.0",14,"16.0","9.0",14,12,"12.0","2.0","14.0","0.0","15.0","15.0"
"Fouls conceded","0.0","28.0",11,"6.0","0.0",25,"615.0",449,"1275.0","0.0","1075.0","53.0",735,"913.0","538.0",992,561,"442.0","94.0","1086.0","0.0","1344.0","1344.0"
"Penalties conceded","0.0","0.0",0,"0.0","0.0",0,"8.0",4,"14.0","0.0","14.0","1.0",8,"9.0","6.0",12,7,"4.0","2.0","12.0","0.0","15.0","15.0"
"Yellow cards","5.0","2.0",3,"1.0","0.0",6,"4.0",9,"2.0","0.0","1.0","0.0",6,"7.0","3.0",2,5,"8.0","0.0","2.0","0.0","0.0","0.0"
"Red cards","0.0","0.0",0,"0.0","0.0",0,"4.0",2,"0.0","0.0","10.0","1.0",9,"3.0","3.0",4,5,"2.0","2.0","2.0","0.0","1.0","1.0"
"Goals conceded","21.0","21.0",12,"14.0","0.0",19,"9.0",8,"15.0","0.0","12.0","0.0",6,"16.0","6.0",14,13,"5.0","3.0","11.0","0.0","16.0","21.0"
"Saves","45.0","0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0"
"Catches","22.0","0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0"
"Goals","0.0","0.0",1,"0.0","0.0",7,"0.0",6,"0.0","0.0","0.0","0.0",1,"0.0","1.0",2,1,"0.0","0.0","1.0","0.0","0.0","2.0"
"Penalties","0.0","0.0",0,"0.0","0.0",1,"0.0",2,"0.0","0.0","0.0","0.0",0,"0.0","0.0",1,1,"0.0","0.0","0.0","0.0","0.0","0.0"
"Minutes per goal","-","-",605,"-","-",203,"-",74.8,"-","-","-","-",735,"-","538.0",496,561,"-","-","1086.0","-","-","672.0"
"Shots on target","0.0","0.0",6,"2.0","0.0",13,"0.0",10,"1.0","0.0","0.0","0.0",2,"0.0","1.0",11,3,"0.0","0.0","3.0","0.0","2.0","2.0"
"Shooting accuracy","-","0.0",75,"22.2","-",41.9,"0.0",55.6,"14.3","-","0.0","-",40,"-","100.0",52.4,60,"0.0","-","30.0","-","33.3","40.0"
"Successful crosses","0.0","6.0",0,"2.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",1,"0.0","0.0",4,3,"4.0","0.0","0.0","0.0","19.0","0.0"
"Crossing accuracy","-","22.2",0,"40.0","-",0,"0.0",0,"-","-","-","-",16.7,"-","-",26.7,17.6,"30.8","-","-","-","22.1","-"
"Assists","0.0","3.0",0,"0.0","0.0",2,"0.0",0,"1.0","0.0","1.0","0.0",2,"0.0","0.0",2,0,"0.0","0.0","0.0","0.0","2.0","0.0"
"Key Passes","0.0","23.0",2,"8.0","0.0",11,"1.0",6,"3.0","0.0","3.0","0.0",1,"1.0","1.0",9,7,"6.0","0.0","1.0","0.0","27.0","4.0"
"Penalties won","0.0","1.0",1,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0",1,0,"0.0","0.0","1.0","0.0","0.0","0.0"
"Offsides","0.0","2.0",2,"0.0","0.0",13,"0.0",1,"0.0","0.0","0.0","0.0",0,"0.0","0.0",13,0,"1.0","0.0","0.0","0.0","2.0","0.0"
"Tackles won","1.0","29.0",7,"3.0","0.0",2,"7.0",5,"5.0","0.0","15.0","1.0",6,"12.0","5.0",4,12,"10.0","1.0","7.0","0.0","15.0","9.0"
"Tackles success rate","50.0","67.4",77.8,"60.0","-",28.6,"77.8",62.5,"62.5","-","48.4","50.0",85.7,"75.0","50.0",80,48,"90.9","100.0","63.6","-","65.2","56.3"
"Clearances","5.0","46.0",6,"1.0","0.0",10,"45.0",6,"80.0","0.0","21.0","0.0",4,"16.0","9.0",5,15,"2.0","1.0","52.0","0.0","36.0","65.0"
"Blocks","0.0","3.0",1,"0.0","0.0",2,"6.0",0,"15.0","0.0","3.0","0.0",1,"5.0","0.0",0,0,"0.0","1.0","4.0","0.0","2.0","11.0"
"Interceptions","0.0","15.0",4,"5.0","0.0",6,"9.0",3,"10.0","0.0","29.0","0.0",6,"9.0","5.0",4,5,"4.0","1.0","13.0","0.0","22.0","14.0"
"Successful passes","269.0","431.0",91,"275.0","0.0",135,"229.0",49,"440.0","0.0","346.0","34.0",123,"239.0","138.0",132,183,"52.0","9.0","353.0","0.0","387.0","485.0"
"Passing accuracy","64.2","76.0",75.8,"87.6","-",65.5,"75.1",60.5,"76.4","-","85.2","91.9",76.4,"83.9","82.6",69.1,75,"61.9","69.2","77.1","-","76.9","78.2"
"Passing accuracy in opponents' half (%)","26.5","59.9",63.6,"81.5","-",56.5,"54.1",48.4,"54.8","-","75.8","83.3",70.8,"76.8","75.6",60.5,59.2,"57.1","80.0","63.5","-","56.6","61.2"
"Successful dribbles","0.0","12.0",9,"5.0","0.0",14,"3.0",5,"2.0","0.0","3.0","0.0",7,"2.0","5.0",25,11,"5.0","0.0","2.0","0.0","27.0","6.0"
"Fouls won","4.0","28.0",9,"6.0","0.0",29,"5.0",11,"10.0","0.0","15.0","1.0",11,"7.0","4.0",17,13,"13.0","1.0","8.0","0.0","27.0","16.0"
"Fouls conceded","0.0","28.0",11,"6.0","0.0",25,"18.0",9,"11.0","0.0","18.0","1.0",19,"17.0","5.0",8,17,"22.0","0.0","8.0","0.0","17.0","18.0"
"Penalties conceded","0.0","0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0",0,1,"0.0","0.0","0.0","0.0","0.0","1.0"
"Yellow cards","5.0","2.0",3,"1.0","0.0",6,"1.0",1,"0.0","0.0","5.0","0.0",1,"3.0","0.0",0,3,"2.0","0.0","0.0","0.0","2.0","1.0"
"Red cards","0.0","0.0",0,"0.0","0.0",0,"1.0",0,"1.0","0.0","0.0","0.0",0,"1.0","0.0",0,0,"1.0","0.0","0.0","0.0","1.0","0.0"
