"...1","Eric Dick
Pittsburgh Riverhounds SC","Charles Ahl
Pittsburgh Riverhounds SC","Perrin Barnes
Pittsburgh Riverhounds SC","Luke Biasi
Pittsburgh Riverhounds SC","Jason Bouregy
Pittsburgh Riverhounds SC","Max Broughton
Pittsburgh Riverhounds SC","Brunallergene Etou
Pittsburgh Riverhounds SC","Jorge Garcia
Pittsburgh Riverhounds SC","Daniel Griffin
Pittsburgh Riverhounds SC","Bertin Jacquesson
Pittsburgh Riverhounds SC","Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC","Aidan O'Toole
Pittsburgh Riverhounds SC","Abdul Illal Osumanu
Pittsburgh Riverhounds SC","Jacob Randolph
Pittsburgh Riverhounds SC","Bradley Sample
Pittsburgh Riverhounds SC","Sean Suber
Pittsburgh Riverhounds SC","Guillaume Vacter
Pittsburgh Riverhounds SC","Jackson Walti
Pittsburgh Riverhounds SC","Augustine Williams
Pittsburgh Riverhounds SC","Roberto Ydrach
Pittsburgh Riverhounds SC"
"Games played","19.0",11,14,"18.0","9.0","11.0","16.0",9,19,13,"9.0","3.0","0.0",18,"9.0","9.0","0.0",16,"19.0",12,"19.0",19,"18.0"
"Minutes played","1710.0",487,1243,"1498.0","279.0","98.0","700.0",204,1642,563,"49.0","12.0","0.0",1458,"271.0","497.0","0.0",677,"1710.0",1080,"1667.0",1495,"1467.0"
"Starts","19.0",4,14,"18.0","3.0","0.0","7.0",1,18,5,"0.0","0.0","0.0",17,"3.0","6.0","0.0",9,"19.0",12,"19.0",19,"16.0"
"Subbed on","0.0",7,0,"0.0","6.0","11.0","9.0",8,1,8,"9.0","3.0","0.0",1,"6.0","3.0","0.0",7,"0.0",0,"0.0",0,"2.0"
"Subbed off","0.0",4,5,"8.0","3.0","0.0","4.0",1,0,5,"0.0","0.0","0.0",14,"3.0","4.0","0.0",9,"0.0",0,"4.0",12,"5.0"
"Goals conceded","16.0",3,10,"11.0","3.0","5.0","8.0",3,15,4,"2.0","0.0","0.0",12,"5.0","6.0","0.0",6,"16.0",7,"16.0",12,"15.0"
"Saves","42.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Catches","17.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Punches","1.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Goals","0.0",1,1,"0.0","0.0","0.0","0.0",1,3,1,"0.0","0.0","0.0",4,"0.0","0.0","0.0",1,"0.0",1,"0.0",4,"0.0"
