"...1","Eric Dick
Pittsburgh Riverhounds SC","Charles Ahl
Pittsburgh Riverhounds SC","Perrin Barnes
Pittsburgh Riverhounds SC","Luke Biasi
Pittsburgh Riverhounds SC","Chase Boone
Pittsburgh Riverhounds SC","Jason Bouregy
Pittsburgh Riverhounds SC","Max Broughton
Pittsburgh Riverhounds SC","Brunallergene Etou
Pittsburgh Riverhounds SC","Jorge Garcia
Pittsburgh Riverhounds SC","Daniel Griffin
Pittsburgh Riverhounds SC","Bertin Jacquesson
Pittsburgh Riverhounds SC","Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC","Aidan O'Toole
Pittsburgh Riverhounds SC","Abdul Illal Osumanu
Pittsburgh Riverhounds SC","Jacob Randolph
Pittsburgh Riverhounds SC","Bradley Sample
Pittsburgh Riverhounds SC","Sean Suber
Pittsburgh Riverhounds SC","Guillaume Vacter
Pittsburgh Riverhounds SC","Jackson Walti
Pittsburgh Riverhounds SC","Augustine Williams
Pittsburgh Riverhounds SC","Roberto Ydrach
Pittsburgh Riverhounds SC"
"Games played","20.0",12,15,"19.0","1.0","9.0","11.0","16.0",9,20,14,"9.0","3.0","0.0",19,"9.0","9.0","0.0",17,"20.0",13,"20.0",20,"19.0"
"Minutes played","1800.0",509,1333,"1588.0","22.0","279.0","98.0","700.0",204,1732,632,"49.0","12.0","0.0",1527,"271.0","497.0","0.0",699,"1800.0",1170,"1757.0",1585,"1536.0"
"Starts","20.0",4,15,"19.0","0.0","3.0","0.0","7.0",1,19,6,"0.0","0.0","0.0",18,"3.0","6.0","0.0",9,"20.0",13,"20.0",20,"17.0"
"Subbed on","0.0",8,0,"0.0","1.0","6.0","11.0","9.0",8,1,8,"9.0","3.0","0.0",1,"6.0","3.0","0.0",8,"0.0",0,"0.0",0,"2.0"
"Subbed off","0.0",4,5,"8.0","0.0","3.0","0.0","4.0",1,0,6,"0.0","0.0","0.0",15,"3.0","4.0","0.0",9,"0.0",0,"4.0",12,"6.0"
"Goals conceded","18.0",3,12,"13.0","0.0","3.0","5.0","8.0",3,17,6,"2.0","0.0","0.0",14,"5.0","6.0","0.0",6,"18.0",9,"18.0",14,"17.0"
"Saves","45.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Catches","19.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Punches","1.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Goals","0.0",1,1,"0.0","0.0","0.0","0.0","0.0",1,4,1,"0.0","0.0","0.0",4,"0.0","0.0","0.0",1,"0.0",1,"0.0",4,"0.0"
"Penalties","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",1,"0.0"
"Minutes per goal","-",509,1333,"-","-","-","-","-",204,433,632,"-","-","-",381.8,"-","-","-",699,"-",1170,"-",396.3,"-"
"Shots on target","0.0",6,1,"0.0","0.0","2.0","0.0","1.0",1,10,4,"0.0","0.0","0.0",11,"0.0","0.0","0.0",2,"2.0",1,"4.0",15,"4.0"
"Shooting accuracy","-",54.5,50,"0.0","-","66.7","-","50.0",25,43.5,33.3,"-","-","-",73.3,"0.0","-","-",33.3,"22.2",33.3,"66.7",62.5,"44.4"
"Successful crosses","0.0",6,7,"12.0","1.0","0.0","0.0","6.0",0,2,3,"0.0","0.0","0.0",9,"2.0","0.0","0.0",1,"2.0",2,"4.0",1,"3.0"
"Crossing accuracy","-",27.3,25.9,"34.3","25.0","0.0","-","18.2",0,20,25,"-","0.0","-",30,"22.2","-","-",12.5,"66.7",28.6,"23.5",6.7,"15.0"
"Assists","0.0",0,0,"2.0","0.0","0.0","0.0","2.0",0,1,0,"0.0","0.0","0.0",1,"0.0","0.0","0.0",0,"1.0",0,"0.0",0,"2.0"
"Key Passes","0.0",8,13,"12.0","1.0","0.0","0.0","3.0",2,14,4,"3.0","0.0","0.0",32,"3.0","0.0","0.0",6,"7.0",8,"8.0",7,"7.0"
"Penalties won","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Offsides","0.0",1,0,"2.0","0.0","0.0","0.0","0.0",1,4,4,"0.0","0.0","0.0",2,"1.0","0.0","0.0",0,"0.0",0,"0.0",29,"0.0"
"Tackles won","0.0",5,17,"35.0","0.0","2.0","1.0","14.0",2,14,3,"0.0","1.0","0.0",19,"3.0","3.0","0.0",6,"15.0",19,"20.0",9,"17.0"
"Tackles success rate","0.0",71.4,68,"81.4","-","100.0","100.0","87.5",100,70,60,"-","33.3","-",55.9,"60.0","60.0","-",54.5,"71.4",79.2,"58.8",52.9,"70.8"
"Clearances","16.0",3,41,"51.0","0.0","4.0","15.0","28.0",1,22,2,"1.0","0.0","0.0",5,"7.0","30.0","0.0",13,"132.0",63,"26.0",8,"79.0"
"Blocks","0.0",0,4,"7.0","0.0","0.0","1.0","0.0",0,2,0,"0.0","0.0","0.0",0,"1.0","3.0","0.0",0,"5.0",6,"3.0",3,"10.0"
"Interceptions","0.0",4,12,"14.0","0.0","2.0","0.0","8.0",0,18,0,"0.0","0.0","0.0",5,"1.0","5.0","0.0",7,"14.0",17,"27.0",4,"19.0"
"Successful passes","187.0",164,274,"554.0","5.0","67.0","43.0","184.0",49,447,63,"17.0","1.0","0.0",458,"66.0","227.0","0.0",185,"939.0",454,"648.0",163,"617.0"
"Passing accuracy","49.1",78.5,75.3,"74.6","55.6","78.8","67.2","71.9",73.1,76.5,58.3,"56.7","50.0","-",83.3,"78.6","80.2","-",77.4,"81.6",76.6,"80.1",67.9,"72.9"
