"...1","Eric Dick","Charles Ahl","Perrin Barnes","Luke Biasi","Jason Bouregy","Max Broughton","Brunallergene Etou","Jorge Garcia","Daniel Griffin","Bertin Jacquesson","Brigham Larsen","Pablo Linzoain","Benjamin Martino","Robbie Mertz","Aidan O'Toole","Abdul Illal Osumanu","Jacob Randolph","Bradley Sample","Sean Suber","Guillaume Vacter","Jackson Walti","Augustine Williams","Roberto Ydrach"
"Games played","18.0",10,13,"17.0","8.0","11.0","15.0",9,18,12,"8.0","3.0","0.0",17,"9.0","9.0","0.0",15,"18.0","11.0","18.0",18,"17.0"
"Minutes played","1620.0",441,1153,"1422.0","277.0","98.0","685.0",204,1552,486,"33.0","12.0","0.0",1369,"271.0","497.0","0.0",662,"1620.0","990.0","1591.0",1450,"1377.0"
"Starts","18.0",4,13,"17.0","3.0","0.0","7.0",1,17,4,"0.0","0.0","0.0",16,"3.0","6.0","0.0",9,"18.0","11.0","18.0",18,"15.0"
"Subbed on","0.0",6,0,"0.0","5.0","11.0","8.0",8,1,8,"8.0","3.0","0.0",1,"6.0","3.0","0.0",6,"0.0","0.0","0.0",0,"2.0"
"Subbed off","0.0",4,5,"7.0","3.0","0.0","4.0",1,0,4,"0.0","0.0","0.0",13,"3.0","4.0","0.0",9,"0.0","0.0","3.0",11,"5.0"
"Goals conceded","15.0",3,9,"10.0","3.0","5.0","8.0",3,14,3,"2.0","0.0","0.0",11,"5.0","6.0","0.0",6,"15.0","6.0","15.0",11,"14.0"
"Saves","42.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0"
"Catches","17.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0"
"Punches","1.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0"
"Goals","0.0",1,1,"0.0","0.0","0.0","0.0",1,3,1,"0.0","0.0","0.0",4,"0.0","0.0","0.0",1,"0.0","0.0","0.0",4,"0.0"
"Penalties","0.0",0,0,"0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",1,"0.0"
"Minutes per goal","-",441,1153,"-","-","-","-",204,517.3,486,"-","-","-",342.3,"-","-","-",662,"-","-","-",362.5,"-"
"Shots on target","0.0",6,1,"0.0","2.0","0.0","1.0",1,9,4,"0.0","0.0","0.0",11,"0.0","0.0","0.0",2,"2.0","0.0","3.0",12,"3.0"
"Shooting accuracy","-",54.5,50,"0.0","66.7","-","50.0",25,47.4,33.3,"-","-","-",78.6,"0.0","-","-",40,"33.3","0.0","60.0",63.2,"37.5"
"Successful crosses","0.0",3,7,"10.0","0.0","0.0","6.0",0,2,3,"0.0","0.0","0.0",9,"2.0","0.0","0.0",1,"2.0","1.0","4.0",1,"3.0"
"Crossing accuracy","-",20,30.4,"34.5","0.0","-","20.0",0,22.2,30,"-","0.0","-",30,"22.2","-","-",14.3,"66.7","20.0","25.0",7.7,"16.7"
"Assists","0.0",0,0,"2.0","0.0","0.0","2.0",0,1,0,"0.0","0.0","0.0",1,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"2.0"
"Key Passes","0.0",5,11,"11.0","0.0","0.0","3.0",2,14,3,"3.0","0.0","0.0",29,"3.0","0.0","0.0",6,"5.0","7.0","8.0",7,"6.0"
