"...1","Jackson Lee","Isaac Angking","Hugo Bacharach","Joseph Brito","Matthew Corcoran","Cole Dewhurst","Albert Dikwa","Noah Fuson","Zachary Herivaux","Clay Holstad","Rio Hope-Gund","Jojea Kwizera","Aime Mabika","Will Meyer","Frank Nodarse","Taimu Okiyoshi","Maximiliano Rodriguez","Daniel Rovira","Koke Vegas","Aldair Sanchez","Amos Shapiro-Thompson","Grant Stoneman","Kevin Vang","J.J. Williams","Karifa Yao","Marc Ybarra"
"Games played","8.0","4.0","4.0",18,"1.0","0.0",18,19,13,19,"13.0","16.0","13.0","0.0","16.0","14.0",19,"6.0","11.0","19.0","17.0","13.0","1.0",8,"15.0","9.0"
"Minutes played","720.0","58.0","203.0",530,"86.0","0.0",1329,1404,782,1455,"833.0","1156.0","889.0","0.0","1172.0","299.0",1402,"70.0","990.0","1221.0","882.0","929.0","6.0",509,"1159.0","629.0"
"Starts","8.0","0.0","2.0",5,"1.0","0.0",16,15,8,16,"9.0","13.0","10.0","0.0","14.0","3.0",17,"0.0","11.0","15.0","10.0","11.0","0.0",5,"13.0","7.0"
"Subbed on","0.0","4.0","2.0",13,"0.0","0.0",2,4,5,3,"4.0","3.0","3.0","0.0","2.0","11.0",2,"6.0","0.0","4.0","7.0","2.0","1.0",3,"2.0","2.0"
"Subbed off","0.0","0.0","1.0",5,"1.0","0.0",11,4,5,4,"4.0","5.0","7.0","0.0","3.0","3.0",11,"0.0","0.0","6.0","7.0","3.0","0.0",1,"1.0","3.0"
"Goals conceded","10.0","0.0","2.0",4,"0.0","0.0",18,15,8,16,"8.0","13.0","9.0","0.0","14.0","8.0",18,"0.0","10.0","16.0","7.0","11.0","0.0",8,"16.0","7.0"
"Saves","18.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","24.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Catches","7.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","8.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Punches","1.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","3.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Goals","0.0","0.0","0.0",1,"0.0","0.0",2,2,1,2,"0.0","0.0","0.0","0.0","0.0","0.0",3,"0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0","0.0"
"Penalties","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Minutes per goal","-","-","-",530,"-","-",664.5,702,782,727.5,"-","-","-","-","-","-",467.3,"-","-","-","-","-","-",254.5,"-","-"
"Shots on target","0.0","0.0","0.0",5,"0.0","0.0",14,8,3,6,"0.0","5.0","0.0","0.0","2.0","0.0",17,"0.0","0.0","1.0","4.0","2.0","0.0",5,"2.0","0.0"
"Shooting accuracy","-","-","-",55.6,"-","-",66.7,36.4,60,50,"-","45.5","0.0","-","25.0","-",56.7,"-","-","25.0","66.7","100.0","-",31.3,"66.7","-"
"Successful crosses","0.0","0.0","0.0",4,"0.0","0.0",2,11,1,7,"0.0","15.0","0.0","0.0","1.0","2.0",1,"0.0","0.0","15.0","2.0","1.0","0.0",0,"0.0","1.0"
"Crossing accuracy","-","0.0","0.0",26.7,"-","-",25,33.3,25,26.9,"0.0","27.8","-","-","12.5","66.7",7.1,"0.0","0.0","34.9","33.3","33.3","-",0,"-","20.0"
"Assists","0.0","0.0","0.0",0,"0.0","0.0",3,0,0,1,"0.0","1.0","0.0","0.0","0.0","0.0",1,"0.0","0.0","2.0","0.0","1.0","0.0",0,"0.0","0.0"
"Key Passes","0.0","0.0","2.0",4,"0.0","0.0",12,17,6,13,"1.0","15.0","1.0","0.0","5.0","1.0",15,"0.0","0.0","17.0","7.0","4.0","0.0",12,"2.0","5.0"
"Penalties won","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","1.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Offsides","0.0","0.0","0.0",2,"0.0","0.0",12,6,1,1,"0.0","0.0","1.0","0.0","0.0","0.0",0,"0.0","0.0","1.0","0.0","0.0","0.0",1,"0.0","0.0"
"Tackles won","0.0","1.0","4.0",2,"1.0","0.0",6,6,12,20,"10.0","16.0","8.0","0.0","12.0","5.0",12,"3.0","0.0","20.0","17.0","7.0","1.0",2,"9.0","8.0"
"Tackles success rate","-","50.0","80.0",40,"33.3","-",60,46.2,70.6,80,"83.3","57.1","80.0","-","70.6","55.6",57.1,"60.0","-","66.7","56.7","63.6","100.0",50,"56.3","66.7"
"Clearances","11.0","0.0","11.0",1,"1.0","0.0",5,13,19,8,"25.0","9.0","53.0","0.0","53.0","2.0",14,"4.0","12.0","27.0","8.0","38.0","0.0",2,"72.0","12.0"
"Blocks","0.0","1.0","0.0",0,"0.0","0.0",0,2,0,6,"2.0","1.0","3.0","0.0","3.0","1.0",3,"0.0","0.0","2.0","0.0","9.0","0.0",0,"8.0","0.0"
"Interceptions","0.0","0.0","2.0",3,"1.0","0.0",4,3,5,11,"8.0","2.0","8.0","0.0","12.0","5.0",18,"2.0","0.0","4.0","3.0","9.0","0.0",1,"11.0","9.0"
"Successful passes","155.0","27.0","81.0",138,"39.0","0.0",127,290,391,671,"424.0","355.0","521.0","0.0","532.0","170.0",462,"34.0","295.0","393.0","381.0","435.0","3.0",72,"511.0","197.0"
"Passing accuracy","63.3","87.1","78.6",78.4,"92.9","-",60.2,73.6,89.1,83.9,"83.8","78.4","90.6","-","85.1","87.2",74.8,"75.6","73.0","82.4","86.0","83.3","100.0",55.4,"88.1","77.9"
"Passing accuracy in opponents' half (%)","30.2","82.6","62.2",71.6,"83.3","-",56.8,64.9,84.6,73.8,"77.5","66.2","80.0","-","72.2","82.8",64.6,"57.7","42.1","66.4","79.8","66.2","-",50.8,"72.0","67.1"
"Successful dribbles","2.0","0.0","6.0",2,"0.0","0.0",3,10,6,15,"3.0","28.0","0.0","0.0","13.0","1.0",10,"1.0","0.0","4.0","8.0","1.0","0.0",4,"1.0","1.0"
"Fouls won","1.0","3.0","8.0",16,"1.0","0.0",30,30,8,14,"4.0","21.0","5.0","0.0","20.0","1.0",23,"2.0","1.0","29.0","21.0","8.0","0.0",16,"9.0","10.0"
"Fouls conceded","0.0","2.0","6.0",6,"1.0","0.0",18,30,15,25,"10.0","27.0","5.0","0.0","9.0","5.0",13,"0.0","0.0","20.0","21.0","5.0","1.0",13,"19.0","12.0"
"Penalties conceded","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Yellow cards","0.0","0.0","2.0",1,"1.0","0.0",0,2,3,5,"0.0","3.0","1.0","0.0","2.0","0.0",4,"0.0","0.0","5.0","6.0","1.0","0.0",3,"3.0","5.0"
"Red cards","0.0","0.0","0.0",0,"0.0","0.0",0,0,1,0,"0.0","1.0","0.0","0.0","1.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0"
