"player_id","name","dob","nation","position","dom_foot","team_id","jersey_2025"
6000,"Van Oekel, Matt",1986-09-20,"USA","GK",NA,100,"1.0"
6001,"Turnbull, Stephen",1998-03-13,"USA","DF",NA,100,"2.0"
6002,"Kavita, Phanuel",1993-03-09,"RWA","DF",NA,100,"3.0"
6003,"Hamouda, Ramiz",NA,"USA","DF",NA,100,"4.0"
6004,"Kos, Ethan",NA,"USA","DF",NA,100,"5.0"
6005,"McIllhatton, Sam",NA,"AUS","MF",NA,100,"6.0"
6006,"Trejo, Danny",1998-04-29,"MEX","FW",NA,100,"7.0"
6007,"Hernandez-Foster, Kobe",2002-06-26,"USA","MF",NA,100,"8.0"
6008,"Damus, Ronaldo",1999-09-12,"HAI","FW",NA,100,"9.0"
6009,"Preston, Tabort Etaka",1998-06-10,"CMR","FW",NA,100,"10.0"
6010,"McCartney, Dawson",1998-10-15,"USA","MF",NA,100,"11.0"
6011,"Rufe, Jake",1996-01-22,"USA","DF",NA,100,"13.0"
6012,"Pasher, Tyler",1994-04-27,"CAN","FW",NA,100,"15.0"
6013,"Laszo, Edwin",NA,"COL","MF",NA,100,"17.0"
6014,"Spangenberg, Trevor",1991-04-21,"USA","GK",NA,100,"18.0"
6015,"Martínez, Enzo",1990-09-29,"URU","MF",NA,100,"19.0"
6016,"Paterson, A.J.",1996-01-31,"GRN","DF",NA,100,"20.0"
6017,"Tregarthen, Sebastian",NA,"URU","FW",NA,100,"21.0"
6018,"Saucedo, Sebastian",1997-01-22,"USA","FW",NA,100,"23.0"
6019,"Torres, Roman",2002-03-30,"USA","MF",NA,100,"25.0"
6020,"Centeno, Erik",2002-06-29,"USA","DF",NA,100,"27.0"
6021,"Temitayo, Ereku",NA,"NGA","MF",NA,100,"32.0"
6022,"Mensah, Moses",1998-08-15,"GHA","DF",NA,100,"33.0"
6023,"Suarez, Tiago",2005-04-23,"USA","DF",NA,100,"43.0"
6024,"Calloway, Finn",NA,"USA","MF",NA,100,"47.0"
6025,"Delgado, Fernando",NA,"MEX","GK",NA,100,"57.0"
6026,"Lacey, Kameron",2001-01-16,"JAM","FW",NA,100,"77.0"
6027,"Mori, Enzo",NA,"USA","GK",NA,101,"0.0"
6028,"Garner, Christian",2000-03-09,"USA","GK",NA,101,"1.0"
6029,"Segbers, Mark",1996-04-18,"USA","DF",NA,101,"2.0"
6030,"Allan, Chris",1998-09-27,"ENG","MF",NA,101,"4.0"
6031,"Archer, Leland",1996-01-08,"TRI","DF",NA,101,"5.0"
6032,"Molloy, Aaron",1997-01-11,"IRL","MF",NA,101,"6.0"
6033,"Blackstock, Langston",2000-03-23,"USA","DF",NA,101,"7.0"
6034,"Ycaza, Emilio",1997-07-10,"USA","MF",NA,101,"8.0"
6035,"Myers, MD",2001-03-05,"USA","FW",NA,101,"9.0"
6036,"Rodríguez, Arturo",1998-12-15,"MEX","MF",NA,101,"10.0"
6037,"Ortiz, Viggo",NA,"MEX","MF",NA,101,"11.0"
6038,"Rodríguez, Diego",NA,"MEX","MF",NA,101,"12.0"
6039,"Rubín, Rubio",1996-03-01,"GUA","FW",NA,101,"14.0"
6040,"Smith, Graham",1995-11-25,"USA","DF",NA,101,"16.0"
6041,"Klein, Johnny",1999-11-07,"USA","MF",NA,101,"19.0"
6042,"Akpunonu, Joey",2001-12-21,"USA","DF",NA,101,"22.0"
6043,"Kuzemka, Daniel",1998-09-23,"USA","GK",NA,101,"24.0"
6044,"Jennings, Cal",1997-05-17,"USA","FW",NA,101,"26.0"
6045,"Kelly, Jeremy",1997-10-21,"USA","MF",NA,101,"29.0"
6046,"Edwards, Michael",2000-11-27,"USA","DF",NA,101,"34.0"
6047,"Conway, Jackson",2001-12-03,"USA","FW",NA,101,"36.0"
6048,"Martínez, Douglas",1997-06-05,"HON","FW",NA,101,"42.0"
6049,"Zamudio, Luis",1998-06-24,"USA","GK",NA,101,"56.0"
6050,"Dossantos, Nathan",1999-04-11,"CAN","DF",NA,101,"62.0"
6051,"Torres, Juan David",2001-03-31,"COL","MF",NA,101,"80.0"
6052,"Landry, Houssou",2000-12-28,"CIV","MF",NA,101,"91.0"
6053,"Dick, Eric",1994-10-03,"USA","GK",NA,119,"1.0"
6054,"Griffin, Danny",1998-07-14,"USA","MF",NA,119,"2.0"
6055,"Barnes, Perrin",NA,"USA","DF",NA,119,"3.0"
6056,"O'Toole, Aidan",NA,"USA","MF",NA,119,"4.0"
6057,"Suber, Sean",2001-06-13,"USA","DF",NA,119,"5.0"
6058,"Broughton, Max",NA,"ENG","DF",NA,119,"6.0"
6059,"Etou, Junior",1994-06-01,"CGO","DF",NA,119,"8.0"
6060,"Williams, Augustine",1997-08-03,"SLE","FW",NA,119,"9.0"
6061,"Jacquesson, Bertin",2001-11-30,"FRA","FW",NA,119,"10.0"
6062,"Ahl, Charles",NA,"USA","MF",NA,119,"12.0"
6063,"Biasi, Luke",1999-07-15,"USA","DF",NA,119,"13.0"
6064,"Mertz, Robbie",1996-12-04,"USA","MF",NA,119,"14.0"
6065,"Sample, Bradley",2000-11-12,"USA","MF",NA,119,"15.0"
6066,"Ydrach, Beto",2001-05-21,"PUR","DF",NA,119,"16.0"
6067,"Larsen, Brigham",NA,"NOR","FW",NA,119,"17.0"
6068,"Garcia, Jorge",NA,"USA","MF",NA,119,"18.0"
6069,"Bouregy, Jason",NA,"USA","MF",NA,119,"20.0"
