"match_id","date","home_team_id","away_team_id","home_score","away_score","competition","stadium_id","weather","attendance"
14000,2025-03-08,114,119,1,1,"League",44,NA,NA
14001,2025-03-08,109,106,2,0,"League",39,NA,NA
14002,2025-03-08,112,103,0,2,"League",NA,NA,NA
14003,2025-03-08,101,111,1,2,"League",NA,NA,NA
14004,2025-03-08,100,110,1,3,"League",NA,NA,NA
14005,2025-03-08,122,113,1,0,"League",NA,NA,NA
14006,2025-03-08,118,104,0,1,"League",NA,NA,NA
14007,2025-03-08,105,102,2,2,"League",NA,NA,NA
14008,2025-03-08,121,115,2,1,"League",NA,NA,NA
14009,2025-03-08,117,116,4,2,"League",NA,NA,NA
14010,2025-03-08,108,123,1,0,"League",NA,NA,NA
14011,2025-03-15,102,103,1,2,"League",NA,NA,NA
14012,2025-03-15,114,110,1,2,"League",NA,NA,NA
14013,2025-03-15,112,107,1,3,"League",NA,NA,NA
14014,2025-03-15,101,120,2,0,"League",NA,NA,NA
14015,2025-03-15,104,123,1,0,"League",NA,NA,NA
14016,2025-03-15,122,119,2,0,"League",NA,NA,NA
14017,2025-03-15,105,118,4,4,"League",NA,NA,NA
14018,2025-03-15,113,116,3,2,"League",NA,NA,NA
14019,2025-03-15,117,109,2,2,"League",NA,NA,NA
14020,2025-03-15,108,115,2,3,"League",NA,NA,NA
14021,2025-03-16,100,111,1,1,"League",NA,NA,NA
14022,2025-03-22,111,110,2,0,"League",NA,NA,NA
14023,2025-03-22,103,100,2,2,"League",NA,NA,NA
14024,2025-03-22,115,105,1,0,"League",NA,NA,NA
14025,2025-03-22,112,123,1,2,"League",NA,NA,NA
14026,2025-03-22,119,106,1,0,"League",NA,NA,NA
14027,2025-03-22,109,107,1,1,"League",NA,NA,NA
14028,2025-03-22,104,114,0,1,"League",NA,NA,NA
14029,2025-03-22,116,122,1,2,"League",NA,NA,NA
14030,2025-03-22,118,120,2,2,"League",NA,NA,NA
14031,2025-03-22,117,113,0,3,"League",NA,NA,NA
14032,2025-03-22,121,102,2,2,"League",NA,NA,NA
14033,2025-03-28,104,121,1,0,"League",NA,NA,NA
14034,2025-03-29,106,105,1,2,"League",NA,NA,NA
14035,2025-03-29,111,103,2,0,"League",NA,NA,NA
14036,2025-03-29,110,120,2,0,"League",NA,NA,NA
14037,2025-03-29,112,115,0,1,"League",NA,NA,NA
14038,2025-03-29,114,101,2,1,"League",NA,NA,NA
14039,2025-03-29,119,100,2,0,"League",NA,NA,NA
14040,2025-03-29,109,122,2,3,"League",NA,NA,NA
14041,2025-03-29,107,102,2,3,"League",NA,NA,NA
14042,2025-03-29,113,118,3,1,"League",NA,NA,NA
14043,2025-03-29,116,108,0,0,"League",NA,NA,NA
14044,2025-04-05,103,113,0,0,"League",NA,NA,NA
14045,2025-04-05,116,120,0,3,"League",NA,NA,NA
14046,2025-04-05,110,106,2,0,"League",NA,NA,NA
14047,2025-04-05,101,123,2,1,"League",NA,NA,NA
14048,2025-04-05,107,114,2,2,"League",NA,NA,NA
14049,2025-04-05,105,109,2,1,"League",NA,NA,NA
14050,2025-04-05,121,111,1,1,"League",NA,NA,NA
14051,2025-04-05,108,117,1,0,"League",NA,NA,NA
14052,2025-04-06,122,118,1,2,"League",NA,NA,NA
14053,NA,NA,NA,NA,NA,NA,NA,NA,NA
14054,NA,NA,NA,NA,NA,NA,NA,NA,NA
14055,NA,NA,NA,NA,NA,NA,NA,NA,NA
14056,NA,NA,NA,NA,NA,NA,NA,NA,NA
14057,NA,NA,NA,NA,NA,NA,NA,NA,NA
14058,NA,NA,NA,NA,NA,NA,NA,NA,NA
14059,NA,NA,NA,NA,NA,NA,NA,NA,NA
14060,NA,NA,NA,NA,NA,NA,NA,NA,NA
14061,NA,NA,NA,NA,NA,NA,NA,NA,NA
14062,NA,NA,NA,NA,NA,NA,NA,NA,NA
14063,NA,NA,NA,NA,NA,NA,NA,NA,NA
