"snap_date","team_id","player_id","games_played","mins_played","starts","subbed_on","subbed_off","goals_conceded","saves","catches","punches","goals","penalties","mins_per_goal","shots_on_target","shooting_accuracy","successful_crosses","crossing_accuracy","assists","key_passes","penalties_won","offsides","tackles_won","tackles_success_rate","clearances","blocks","interceptions","successful_passes","passing_accuracy","passing_accuracy_in_opponents_half","successful_dribbles","fouls_won","fouls_conceded","penalties_conceded","yellow_cards","red_cards"
2025-07-15,106,6247,13,1170,13,0,0,20,0,0,0,0,0,"NA",0,"NA",5,"25.0",3,18,1,1,24,"66.7",32,2,10,334,"77.1","59.0",8,22,24,0,2,0
2025-07-15,106,6250,11,528,4,7,4,12,0,0,0,1,0,"528.0",6,"75.0",0,"0.0",0,1,1,1,7,"77.8",6,0,2,74,"72.5","57.7",8,9,10,0,3,0
2025-07-15,106,6253,9,652,8,1,5,13,0,0,0,0,0,"NA",2,"28.6",2,"40.0",0,8,0,0,2,"50.0",1,0,5,245,"86.9","80.5",5,5,6,0,1,0
2025-07-15,106,6263,0,0,0,0,0,0,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,0,"NA",0,0,0,0,"NA","NA",0,0,0,0,0,0
2025-07-15,106,6252,13,1083,12,1,3,18,0,0,0,4,0,"270.8",8,"38.1",0,"0.0",2,9,0,7,2,"50.0",5,0,4,102,"64.2","56.1",5,23,23,0,4,0
2025-07-15,106,6262,8,351,5,3,3,9,0,0,0,0,0,"NA",0,"0.0",0,"0.0",0,1,0,0,5,"83.3",21,1,4,174,"78.7","55.7",2,4,10,0,1,1
2025-07-15,106,6264,10,415,4,6,2,8,0,0,0,5,2,"83.0",9,"52.9",0,"0.0",0,6,0,1,3,"50.0",6,0,3,47,"62.7","50.0",3,9,9,0,1,0
2025-07-15,106,6255,12,915,10,2,0,14,0,0,0,0,0,"NA",1,"16.7",0,"NA",1,2,0,0,3,"50.0",61,8,7,349,"77.6","54.9",2,8,9,0,0,1
2025-07-15,106,6258,0,0,0,0,0,0,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,0,"NA",0,0,0,0,"NA","NA",0,0,0,0,0,0
2025-07-15,106,6267,11,766,10,1,7,12,0,0,0,0,0,"NA",0,"0.0",0,"NA",0,1,0,0,6,"40.0",17,2,24,248,"87.0","76.3",2,12,15,0,4,0
2025-07-15,106,6417,1,53,1,0,1,0,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,1,"50.0",0,0,0,34,"91.9","83.3",0,1,1,0,0,0
2025-07-15,106,6257,10,448,4,6,5,6,0,0,0,1,0,"448.0",2,"66.7",1,"25.0",1,0,0,0,2,"100.0",3,1,4,74,"74.7","70.5",2,7,13,0,1,0
2025-07-15,106,6249,12,775,8,4,2,15,0,0,0,0,0,"NA",0,"NA",0,"NA",0,1,0,0,12,"75.0",15,4,8,210,"84.3","78.7",2,7,17,0,3,1
2025-07-15,106,6251,6,305,3,3,1,6,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,2,"28.6",6,0,2,94,"83.9","77.4",1,1,2,0,0,0
2025-07-15,106,6254,10,697,9,1,4,13,0,0,0,1,1,"697.0",8,"72.7",2,"22.2",1,7,0,6,2,"66.7",3,0,2,94,"70.7","59.0",14,13,6,0,0,0
2025-07-15,106,6266,11,414,4,7,2,4,0,0,0,0,0,"NA",0,"0.0",2,"20.0",0,6,0,1,8,"88.9",2,0,4,49,"62.0","56.3",5,13,21,0,2,1
2025-07-15,106,6256,2,94,2,0,2,3,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,1,"100.0",1,1,1,9,"69.2","80.0",0,1,0,0,0,0
2025-07-15,106,6260,10,810,9,1,1,10,0,0,0,1,0,"810.0",3,"33.3",0,"NA",0,1,1,0,7,"77.8",35,1,0,267,"76.1","59.4",1,6,6,0,0,0
2025-07-15,106,6261,0,0,0,0,0,0,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,0,"NA",0,0,0,0,"NA","NA",0,0,0,0,0,0
2025-07-15,106,6259,11,989,11,0,0,15,0,0,0,0,0,"NA",0,"0.0",13,"20.6",2,16,0,0,13,"68.4",26,2,15,309,"78.6","57.4",19,18,11,0,1,1
2025-07-15,106,6248,13,1164,13,0,1,20,0,0,0,2,0,"582.0",2,"40.0",0,"NA",0,3,0,0,8,"53.3",57,9,12,433,"78.4","60.0",6,15,16,1,1,0
2025-07-15,106,6265,13,1170,13,0,0,20,0,0,0,0,0,"NA",0,"NA",0,"NA",0,0,0,0,1,"50.0",4,0,0,218,"63.9","29.5",0,3,0,0,4,0
2025-07-15,123,6416,5,385,4,1,3,4,0,0,0,0,0,"NA",0,"0.0",1,"16.7",1,5,0,2,2,"25.0",2,0,1,104,"80.6","73.6",8,2,4,0,0,0
2025-07-15,123,6402,15,1046,12,3,5,18,0,0,0,3,0,"348.7",9,"31.0",1,"16.7",0,8,1,4,9,"75.0",13,4,5,152,"75.6","66.7",2,22,21,0,4,0
