"...1","Fernando Delgado","Finn Calloway","Erik Centeno","Ronaldo Damus...5","Lucca Dourado Pereira","RamizHamouda","Kobe Hernandez-Foster","Maliek Howell","Phanuel Kavita","Ethan Kos","Kameron Lacey","Edwin Laszlo","Enzo Martinez","Dawson McCartney","Samuel McIllhatton","Moses Mensah","Tyler Pasher","A.J. Paterson","Jacob Rufe","Sebastian Saucedo","Samuel Shashoua","Trevor Spangenberg","Santiago Suarez","Preston Tabort Etaka","Ereku Temitayo","Roman Torres","Sebastian Tregarthen","Daniel Trejo","Stephen Turnbull","Matt Van Oekel","Ronaldo Damus...32","...33","0.0","13.0","9.0","18.0","5.0","26.0"
"Games played","5.0","1.0","8.0",19,"2.0","10.0","15.0","15.0","10.0","3.0","0.0","15.0",18,9,"10.0","15.0",15,"8.0",18,"2.0","2.0","0.0","15.0","19.0","1.0","10.0",13,9,"18.0","5.0",26,"Fouls conceded",0,12,10,11,0,19
"Minutes played","450.0","1.0","288.0",1621,"41.0","738.0","1066.0","1046.0","842.0","205.0","0.0","902.0",1527,657,"384.0","982.0",1110,"599.0",1398,"31.0","146.0","0.0","1005.0","672.0","29.0","452.0",12,10,"11.0","0.0",19,"Penalties conceded",0,0,0,0,0,0
"Starts","5.0","0.0","3.0",19,"0.0","8.0","12.0","11.0","10.0","3.0","0.0","11.0",17,7,"4.0","12.0",13,"7.0",15,"0.0","2.0","0.0","11.0","6.0","0.0","4.0",0,0,"0.0","0.0",0,"Yellow cards",1,1,2,1,1,3
"Subbed on","0.0","1.0","5.0",0,"2.0","2.0","3.0","4.0","0.0","0.0","0.0","4.0",1,2,"6.0","3.0",2,"1.0",3,"2.0","0.0","0.0","4.0","13.0","1.0","6.0",1,2,"1.0","1.0",3,"Red cards",0,0,0,0,0,0
"Subbed off","0.0","0.0","1.0",8,"0.0","2.0","4.0","2.0","2.0","2.0","0.0","5.0",2,2,"2.0","8.0",4,"4.0",2,"0.0","2.0","0.0","1.0","6.0","0.0","1.0",0,0,"0.0","0.0",0,NA,NA,NA,NA,NA,NA,NA
"Goals conceded","11.0","0.0","7.0",25,"0.0","14.0","19.0","21.0","13.0","4.0","0.0","15.0",24,14,"7.0","12.0",13,"7.0",23,"1.0","2.0","0.0","19.0","17.0","0.0","10.0",7,12,"13.0","17.0",25,NA,NA,NA,NA,NA,NA,NA
"Saves","9.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","40.0",0,NA,NA,NA,NA,NA,NA,NA
"Catches","2.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","10.0",0,NA,NA,NA,NA,NA,NA,NA
"Punches","5.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","6.0",0,NA,NA,NA,NA,NA,NA,NA
"Goals","0.0","0.0","0.0",8,"0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0",2,1,"0.0","0.0",2,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,3,"0.0","0.0",8,NA,NA,NA,NA,NA,NA,NA
