"...1","Antony Siaha
Hartford Athletic","Sebastian Anderson
Hartford Athletic","Deshane Beckford
Hartford Athletic","Samuel Careaga
Hartford Athletic","Justin DiCarlo
Hartford Athletic","Mamadou Dieng
Hartford Athletic","Adrian Diz Pe
Hartford Athletic","Kyle Edwards
Hartford Athletic","Joseph Farrell
Hartford Athletic","Spencer Gordon
Hartford Athletic","Marlon Hairston
Hartford Athletic","Justin Ingram
Hartford Athletic","Jonathan Jimenez
Hartford Athletic","Beverly Makangila
Hartford Athletic","Junior Moreira
Hartford Athletic","Michee Ngalina
Hartford Athletic","Baboucarr Njie
Hartford Athletic","Adewale Obalola
Hartford Athletic","Jack Panayotou
Hartford Athletic","Thomas Presthus
Hartford Athletic","Owen Presthus
Hartford Athletic","Kauan Ribeiro
Hartford Athletic","Emmanuel Samadia
Hartford Athletic","Jordan Scarlett
Hartford Athletic"
"Games played","20.0","20.0",14,15,"0.0",19,"14.0",16,"18.0","0.0","17.0","1.0",17,"19.0",12,17,13,14,"2.0","17.0",1,"0.0","18.0","18.0"
"Minutes played","1800.0","1724.0",605,852,"0.0",1582,"785.0",552,"1455.0","0.0","1178.0","53.0",905,"1081.0",753,1202,621,520,"94.0","1356.0",90,"0.0","1554.0","1535.0"
"Starts","20.0","19.0",5,9,"0.0",18,"10.0",4,"16.0","0.0","15.0","1.0",11,"11.0",9,14,8,5,"2.0","15.0",1,"0.0","17.0","17.0"
"Subbed on","0.0","1.0",9,6,"0.0",1,"4.0",12,"2.0","0.0","2.0","0.0",6,"8.0",3,3,5,9,"0.0","2.0",0,"0.0","1.0","1.0"
"Subbed off","0.0","0.0",5,6,"0.0",6,"5.0",2,"0.0","0.0","11.0","1.0",12,"4.0",5,4,6,3,"2.0","2.0",0,"0.0","1.0","1.0"
"Goals conceded","23.0","23.0",12,15,"0.0",20,"9.0",9,"17.0","0.0","12.0","0.0",7,"18.0",7,16,13,6,"3.0","13.0",0,"0.0","18.0","23.0"
"Saves","51.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0",0,"0.0","0.0","0.0"
"Catches","28.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0",1,1,"0.0",9,"0.0",9,"0.0","0.0","0.0","0.0",1,"0.0",1,2,1,1,"0.0","1.0",1,"0.0","0.0","2.0"
"Penalties","0.0","0.0",0,0,"0.0",2,"0.0",2,"0.0","0.0","0.0","0.0",0,"0.0",0,1,1,0,"0.0","0.0",0,"0.0","0.0","0.0"
"Minutes per goal","-","-",605,852,"-",175.8,"-",61.3,"-","-","-","-",905,"-",753,601,621,520,"-","1356.0",90,"-","-","767.5"
"Shots on target","0.0","0.0",6,4,"0.0",18,"0.0",14,"1.0","0.0","0.0","0.0",2,"0.0",2,14,3,2,"0.0","4.0",1,"0.0","2.0","2.0"
"Shooting accuracy","-","0.0",75,30.8,"-",48.6,"0.0",63.6,"12.5","-","0.0","-",40,"-",100,53.8,50,50,"-","33.3",50,"-","33.3","40.0"
"Successful crosses","0.0","7.0",0,5,"0.0",0,"1.0",0,"0.0","0.0","0.0","0.0",1,"0.0",0,5,3,4,"0.0","0.0",1,"0.0","22.0","0.0"
"Crossing accuracy","-","24.1",0,55.6,"-",0,"14.3",0,"-","-","-","-",14.3,"-",0,25,16.7,30.8,"-","-",33.3,"-","22.4","-"
"Assists","0.0","3.0",0,1,"0.0",2,"0.0",1,"1.0","0.0","1.0","0.0",2,"0.0",0,3,0,1,"0.0","0.0",0,"0.0","3.0","1.0"
"Key Passes","0.0","29.0",2,10,"0.0",13,"2.0",7,"3.0","0.0","3.0","0.0",2,"1.0",1,9,7,6,"0.0","1.0",0,"0.0","31.0","6.0"
"Penalties won","0.0","1.0",1,0,"0.0",1,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0",0,1,0,0,"0.0","1.0",0,"0.0","0.0","0.0"
"Offsides","0.0","2.0",2,0,"0.0",16,"1.0",1,"0.0","0.0","0.0","0.0",0,"0.0",0,15,0,3,"0.0","1.0",0,"0.0","3.0","0.0"
"Tackles won","1.0","32.0",7,5,"0.0",4,"8.0",7,"6.0","0.0","15.0","1.0",7,"14.0",11,5,12,11,"1.0","10.0",3,"0.0","17.0","9.0"
