"...1","Antony Siaha
Hartford Athletic","Sebastian Anderson
Hartford Athletic","Deshane Beckford
Hartford Athletic","John Berner
Hartford Athletic","Samuel Careaga
Hartford Athletic","Justin DiCarlo
Hartford Athletic","Mamadou Dieng
Hartford Athletic","Adrian Diz Pe
Hartford Athletic","Kyle Edwards
Hartford Athletic","Joseph Farrell
Hartford Athletic","Spencer Gordon
Hartford Athletic","Marlon Hairston
Hartford Athletic","Justin Ingram
Hartford Athletic","Jonathan Jimenez
Hartford Athletic","Beverly Makangila
Hartford Athletic","Junior Moreira
Hartford Athletic","Michee Ngalina
Hartford Athletic","Baboucarr Njie
Hartford Athletic","Adewale Obalola
Hartford Athletic","Jack Panayotou
Hartford Athletic","Thomas Presthus
Hartford Athletic","Kauan Ribeiro
Hartford Athletic","Emmanuel Samadia
Hartford Athletic","Jordan Scarlett
Hartford Athletic"
"Games played","21.0","20.0",14,"0.0",16,"0.0",19,15,17,"19.0","0.0","18.0","1.0",18,"20.0",13,18,13,15,"3.0","18.0","0.0","19.0","19.0"
"Minutes played","1890.0","1724.0",605,"0.0",927,"0.0",1582,875,627,"1456.0","0.0","1253.0","53.0",920,"1096.0",813,1292,621,550,"109.0","1446.0","0.0","1644.0","1625.0"
"Starts","21.0","19.0",5,"0.0",10,"0.0",18,11,5,"16.0","0.0","16.0","1.0",11,"11.0",10,15,8,5,"2.0","16.0","0.0","18.0","18.0"
"Subbed on","0.0","1.0",9,"0.0",6,"0.0",1,4,12,"3.0","0.0","2.0","0.0",7,"9.0",3,3,5,10,"1.0","2.0","0.0","1.0","1.0"
"Subbed off","0.0","0.0",5,"0.0",7,"0.0",6,5,3,"0.0","0.0","12.0","1.0",12,"4.0",6,4,6,3,"2.0","2.0","0.0","1.0","1.0"
"Goals conceded","25.0","23.0",12,"0.0",16,"0.0",20,11,10,"17.0","0.0","13.0","0.0",8,"19.0",8,18,13,7,"4.0","15.0","0.0","20.0","25.0"
"Saves","53.0","0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0"
"Catches","31.0","0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0"
"Goals","0.0","0.0",1,"0.0",2,"0.0",9,1,9,"0.0","0.0","0.0","0.0",1,"0.0",1,2,1,1,"0.0","1.0","0.0","0.0","2.0"
"Penalties","0.0","0.0",0,"0.0",0,"0.0",2,0,2,"0.0","0.0","0.0","0.0",0,"0.0",0,1,1,0,"0.0","0.0","0.0","0.0","0.0"
"Minutes per goal","-","-",605,"-",463.5,"-",175.8,875,69.7,"-","-","-","-",920,"-",813,646,621,550,"-","1446.0","-","-","812.5"
"Shots on target","0.0","0.0",6,"0.0",6,"0.0",18,1,15,"1.0","0.0","0.0","0.0",2,"0.0",2,16,3,2,"0.0","4.0","0.0","2.0","2.0"
"Shooting accuracy","-","0.0",75,"-",33.3,"-",48.6,33.3,60,"12.5","-","0.0","-",40,"-",100,57.1,50,50,"-","30.8","-","33.3","40.0"
"Successful crosses","0.0","7.0",0,"0.0",5,"0.0",0,1,0,"0.0","0.0","0.0","0.0",1,"0.0",0,6,3,4,"0.0","0.0","0.0","25.0","0.0"
"Crossing accuracy","-","24.1",0,"-",50,"-",0,14.3,0,"-","-","-","-",14.3,"-",0,26.1,16.7,30.8,"-","-","-","24.3","-"
"Assists","0.0","3.0",0,"0.0",1,"0.0",2,0,1,"1.0","0.0","1.0","0.0",2,"0.0",0,3,0,1,"0.0","0.0","0.0","4.0","1.0"
"Key Passes","0.0","29.0",2,"0.0",10,"0.0",13,3,7,"3.0","0.0","4.0","0.0",3,"1.0",2,10,7,7,"0.0","2.0","0.0","34.0","6.0"
"Penalties won","0.0","1.0",1,"0.0",0,"0.0",1,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,1,0,0,"0.0","1.0","0.0","0.0","0.0"
"Offsides","0.0","2.0",2,"0.0",0,"0.0",4,8,7,"6.0","0.0","0.0","0.0",0,"0.0",0,16,0,4,"0.0","1.0","0.0","3.0","0.0"
"Tackles won","1.0","32.0",7,"0.0",6,"0.0",40,72.7,70,"66.7","-","15.0","1.0",7,"14.0",11,5,12,12,"1.0","11.0","0.0","17.0","9.0"
