"...1","Reice Charles-Cook
Indy Eleven","Elvis Amoh
Indy Eleven","Jack Blake
Indy Eleven","Oliver Brynéus
Indy Eleven","Elliot Collier
Indy Eleven","Maalique Foster
Indy Eleven","Patrick Hogan
Indy Eleven","Ryan Hunsucker
Indy Eleven","Edward Kizza
Indy Eleven","Cameron Lindley
Indy Eleven","Maverick McCoy
Indy Eleven","Finn McRobb
Indy Eleven","James Murphy
Indy Eleven","James Musa
Indy Eleven","Logan Neidlinger
Indy Eleven","Josh O'brien
Indy Eleven","Benjamin Ofeimu
Indy Eleven","Aodhan Quinn
Indy Eleven","Bruno Manuel Rendón
Indy Eleven","Brem Soumaoro
Indy Eleven","Aedan Stanley
Indy Eleven","Hunter Sulte
Indy Eleven","Hayden White
Indy Eleven","Romario Williams
Indy Eleven"
"Games played","1.0",17,18,"9.0","12.0",15,17,"0.0",18,14,"0.0","8.0",18,"17.0","6.0","13.0",14,18,15,"3.0","8.0","17.0","11.0",9
"Minutes played","90.0",778,1447,"343.0","237.0",1092,1049,"0.0",702,764,"0.0","434.0",1551,"1519.0","118.0","655.0",1033,1539,1050,"55.0","680.0","1530.0","619.0",450
"Starts","1.0",10,18,"3.0","0.0",13,10,"0.0",7,8,"0.0","5.0",17,"17.0","0.0","8.0",12,18,13,"1.0","8.0","17.0","8.0",4
"Subbed on","0.0",7,0,"6.0","12.0",2,7,"0.0",11,6,"0.0","3.0",1,"0.0","6.0","5.0",2,0,2,"2.0","0.0","0.0","3.0",5
"Subbed off","0.0",10,12,"3.0","0.0",8,2,"0.0",6,4,"0.0","3.0",2,"1.0","0.0","5.0",2,6,6,"1.0","2.0","0.0","4.0",3
"Goals conceded","4.0",13,30,"10.0","4.0",26,22,"0.0",17,9,"0.0","9.0",31,"28.0","2.0","10.0",20,30,18,"0.0","16.0","28.0","12.0",12
"Saves","3.0",0,0,"0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","43.0","0.0",0
"Catches","0.0",0,0,"0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","15.0","0.0",0
"Punches","0.0",0,0,"0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","8.0","0.0",0
"Goals","0.0",4,5,"0.0","0.0",2,1,"0.0",2,1,"0.0","0.0",1,"0.0","0.0","0.0",2,3,1,"0.0","0.0","0.0","0.0",4
"Penalties","0.0",0,3,"0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0",0
"Minutes per goal","-",194.5,289.4,"-","-",546,1049,"-",351,764,"-","-",1551,"-","-","-",516.5,513,1050,"-","-","-","-",112.5
"Shots on target","0.0",8,13,"3.0","2.0",6,2,"0.0",6,1,"0.0","1.0",4,"1.0","0.0","0.0",5,5,4,"0.0","1.0","0.0","0.0",5
"Shooting accuracy","-",50,46.4,"33.3","40.0",30,40,"-",54.5,50,"-","50.0",44.4,"25.0","-","0.0",62.5,29.4,28.6,"0.0","100.0","-","-",50
"Successful crosses","0.0",0,3,"2.0","0.0",2,0,"0.0",2,0,"0.0","5.0",6,"1.0","2.0","1.0",1,5,5,"0.0","5.0","0.0","1.0",0
"Crossing accuracy","-",0,15,"16.7","0.0",5.4,0,"-",50,0,"-","33.3",33.3,"25.0","50.0","100.0",33.3,10.9,17.2,"0.0","18.5","-","10.0",0
"Assists","0.0",1,4,"1.0","1.0",2,0,"0.0",1,0,"0.0","0.0",1,"1.0","0.0","0.0",0,6,0,"0.0","0.0","0.0","0.0",0
"Key Passes","0.0",9,17,"5.0","3.0",14,2,"0.0",7,9,"0.0","4.0",19,"3.0","1.0","0.0",2,13,8,"0.0","3.0","0.0","2.0",1
"Penalties won","0.0",0,0,"0.0","0.0",1,0,"0.0",1,0,"0.0","0.0",0,"1.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0",0
"Offsides","0.0",6,2,"2.0","0.0",4,3,"0.0",8,0,"0.0","0.0",0,"2.0","0.0","0.0",0,5,2,"0.0","0.0","0.0","0.0",2
"Tackles won","0.0",6,16,"3.0","5.0",5,8,"0.0",3,8,"0.0","5.0",22,"12.0","5.0","7.0",8,16,17,"2.0","9.0","0.0","7.0",5
"Tackles success rate","-",54.5,72.7,"60.0","71.4",45.5,72.7,"-",37.5,66.7,"-","50.0",56.4,"75.0","83.3","70.0",66.7,66.7,65.4,"100.0","81.8","-","87.5",55.6
"Clearances","2.0",10,9,"5.0","1.0",2,108,"0.0",2,6,"0.0","21.0",16,"104.0","6.0","25.0",73,36,22,"0.0","21.0","15.0","15.0",5
"Blocks","0.0",2,3,"1.0","0.0",1,8,"0.0",0,1,"0.0","2.0",2,"6.0","0.0","2.0",9,4,1,"1.0","2.0","0.0","2.0",0
"Interceptions","0.0",2,5,"1.0","0.0",5,13,"0.0",3,8,"0.0","3.0",18,"23.0","6.0","3.0",6,10,5,"0.0","7.0","0.0","4.0",0
"Successful passes","12.0",108,397,"55.0","48.0",208,315,"0.0",128,340,"0.0","159.0",619,"485.0","18.0","131.0",311,475,202,"22.0","209.0","184.0","161.0",72
"Passing accuracy","63.2",68.4,75.8,"69.6","70.6",79.7,79.9,"-",81.5,82.9,"-","77.9",80.8,"79.9","51.4","72.8",83.2,75.4,66.4,"91.7","79.2","49.7","75.6",77.4
"Passing accuracy in opponents' half (%)","45.5",63.3,68.9,"57.1","69.0",66.5,58.7,"-",75.5,73.2,"-","67.6",71.8,"66.9","56.5","62.0",73.8,62.5,56.8,"82.4","64.4","27.0","65.7",73.7
"Successful dribbles","0.0",11,4,"2.0","2.0",19,0,"0.0",1,1,"0.0","2.0",2,"1.0","2.0","0.0",2,4,5,"1.0","2.0","0.0","1.0",2
"Fouls won","0.0",18,30,"1.0","5.0",25,4,"0.0",14,9,"0.0","3.0",19,"21.0","1.0","6.0",4,13,17,"0.0","10.0","1.0","5.0",8
"Fouls conceded","0.0",18,27,"5.0","2.0",13,14,"0.0",17,15,"0.0","6.0",19,"26.0","3.0","10.0",7,21,21,"1.0","10.0","0.0","14.0",11
"Penalties conceded","0.0",0,1,"0.0","0.0",0,0,"0.0",1,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","1.0",0
"Yellow cards","1.0",0,3,"0.0","1.0",3,2,"0.0",2,1,"0.0","1.0",4,"6.0","0.0","2.0",1,2,3,"0.0","0.0","1.0","2.0",0
"Red cards","0.0",0,0,"0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,1,"0.0","0.0","0.0","1.0",0
