"...1","Hunter Sulte
Indy Eleven","Elvis Amoh
Indy Eleven","Jack Blake
Indy Eleven","Oliver Brynéus
Indy Eleven","Reice Charles-Cook
Indy Eleven","Elliot Collier
Indy Eleven","Maalique Foster
Indy Eleven","Patrick Hogan
Indy Eleven","Ryan Hunsucker
Indy Eleven","Edward Kizza
Indy Eleven","Cameron Lindley
Indy Eleven","Maverick McCoy
Indy Eleven","Finn McRobb
Indy Eleven","James Murphy
Indy Eleven","James Musa
Indy Eleven","Logan Neidlinger
Indy Eleven","Josh O'brien
Indy Eleven","Benjamin Ofeimu
Indy Eleven","Aodhan Quinn
Indy Eleven","Bruno Manuel Rendón
Indy Eleven","Brem Soumaoro
Indy Eleven","Aedan Stanley
Indy Eleven","Hayden White
Indy Eleven","Romario Williams
Indy Eleven"
"Games played","16.0",16,17,"9.0","1.0","11.0",14,16,"0.0",17,13,"0.0","8.0",17,"16.0","5.0","12.0",13,17,14,"3.0","8.0","11.0",8
"Minutes played","1440.0",757,1363,"343.0","90.0","236.0",1023,1042,"0.0",695,680,"0.0","434.0",1461,"1429.0","96.0","566.0",943,1449,1020,"55.0","680.0","619.0",381
"Starts","16.0",10,17,"3.0","1.0","0.0",12,10,"0.0",7,7,"0.0","5.0",16,"16.0","0.0","7.0",11,17,12,"1.0","8.0","8.0",3
"Subbed on","0.0",6,0,"6.0","0.0","11.0",2,6,"0.0",10,6,"0.0","3.0",1,"0.0","5.0","5.0",2,0,2,"2.0","0.0","3.0",5
"Subbed off","0.0",10,11,"3.0","0.0","0.0",7,2,"0.0",6,3,"0.0","3.0",2,"1.0","0.0","4.0",2,6,6,"1.0","2.0","4.0",2
"Goals conceded","27.0",13,29,"10.0","4.0","4.0",25,22,"0.0",17,8,"0.0","9.0",30,"27.0","2.0","9.0",19,29,18,"0.0","16.0","12.0",11
"Saves","39.0",0,0,"0.0","3.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","15.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","8.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0",4,5,"0.0","0.0","0.0",2,1,"0.0",2,1,"0.0","0.0",1,"0.0","0.0","0.0",2,3,1,"0.0","0.0","0.0",4
"Penalties","0.0",0,3,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Minutes per goal","-",189.3,272.6,"-","-","-",511.5,1042,"-",347.5,680,"-","-",1461,"-","-","-",471.5,483,1020,"-","-","-",95.3
"Shots on target","0.0",8,13,"3.0","0.0","2.0",6,2,"0.0",6,1,"0.0","1.0",4,"1.0","0.0","0.0",5,5,4,"0.0","1.0","0.0",4
"Shooting accuracy","-",50,48.1,"33.3","-","40.0",31.6,40,"-",54.5,50,"-","50.0",44.4,"25.0","-","0.0",62.5,31.3,30.8,"0.0","100.0","-",44.4
"Successful crosses","0.0",0,3,"2.0","0.0","0.0",2,0,"0.0",2,0,"0.0","5.0",5,"1.0","2.0","1.0",1,5,5,"0.0","5.0","1.0",0
"Crossing accuracy","-",0,15,"16.7","-","0.0",5.6,0,"-",50,0,"-","33.3",29.4,"33.3","50.0","100.0",33.3,11.1,17.2,"0.0","18.5","10.0",0
