"...1","Logan Ketterer","Michael Adedokun","Forster Ajago","Daniel Barbir","Jack Beer","Cory Burke","Kendall Burks","Edrey Caceres","Sofiane Djeffal","Marcus Epps","Blaine Ferri","Nicolas Firmino","Gael Gibert","Eliot Goldthorp","Jacob Greene","Joe Hafferty","...18","...19","Cameron Lancaster","Hugo Mbongue","Alfredo Midence Alvarado","Christopher Olney Jr.","Braudilio Rodrigues","Kieran Sargent","Lucas Stauffer","Kimani Stewart-Baynes","Brooks Thompson","Christian Volesky","Devon Williams","Daniel Wu","Xavier Zengue"
"Games played","11.0",13,9,"8.0","3.0",10,"18.0","2.0",17,17,"1.0",18,"13.0",19,"10.0",17,"Games played","11.0","8.0","6.0",8,"2.0",9,"18.0","12.0","0.0","7.0","1.0","13.0","3.0",7
"Minutes played","990.0",773,760,"462.0","197.0",594,"1562.0","91.0",1498,1484,"90.0",1427,"647.0",568,"326.0",1466,"Minutes played","990.0","241.0","38.0",612,"30.0",542,"1449.0","881.0","0.0","630.0","4.0","942.0","64.0",477
"Starts","11.0",8,9,"5.0","3.0",7,"17.0","1.0",17,17,"1.0",17,"5.0",4,"3.0",17,"Starts","11.0","2.0","0.0",8,"0.0",6,"17.0","10.0","0.0","7.0","0.0","10.0","1.0",7
"Subbed on","0.0",5,0,"3.0","0.0",3,"1.0","1.0",0,0,"0.0",1,"8.0",15,"7.0",0,"Subbed on","0.0","6.0","6.0",0,"2.0",3,"1.0","2.0","0.0","0.0","1.0","3.0","2.0",0
"Subbed off","0.0",0,2,"1.0","3.0",4,"1.0","0.0",3,4,"0.0",8,"1.0",4,"2.0",1,"Subbed off","0.0","2.0","0.0",7,"0.0",4,"7.0","3.0","0.0","0.0","0.0","2.0","0.0",4
"Goals conceded","18.0",10,9,"8.0","2.0",7,"26.0","3.0",20,23,"3.0",21,"12.0",11,"10.0",22,"Goals conceded","18.0","7.0","4.0",8,"0.0",9,"23.0","12.0","0.0","8.0","1.0","16.0","0.0",6
"Saves","23.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Saves","23.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","21.0","0.0","0.0","0.0",0
"Catches","6.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Catches","6.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","4.0","0.0","0.0","0.0",0
"Punches","6.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Punches","6.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","3.0","0.0","0.0","0.0",0
"Goals","0.0",1,2,"0.0","0.0",3,"0.0","0.0",1,3,"0.0",2,"0.0",2,"0.0",1,"Goals","0.0","1.0","0.0",1,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",1
"Penalties","0.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Penalties","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0
"Minutes per goal","-",773,380,"-","-",198,"-","-",1498,494.7,"-",713.5,"-",284,"-",1466,"Minutes per goal","-","241.0","-",612,"-",542,"-","-","-","-","-","-","-",477
"Shots on target","0.0",9,7,"0.0","2.0",6,"0.0","0.0",3,9,"0.0",7,"0.0",8,"1.0",1,"Shots on target","0.0","2.0","1.0",2,"0.0",2,"3.0","0.0","0.0","0.0","0.0","2.0","0.0",1
"Shooting accuracy","-",64.3,46.7,"0.0","66.7",54.5,"0.0","0.0",37.5,52.9,"0.0",30.4,"0.0",72.7,"20.0",50,"Shooting accuracy","-","66.7","100.0",33.3,"-",22.2,"30.0","0.0","-","-","-","66.7","-",25
"Successful crosses","0.0",10,0,"2.0","0.0",0,"0.0","0.0",2,13,"0.0",3,"0.0",3,"0.0",6,"Successful crosses","0.0","0.0","0.0",1,"0.0",0,"8.0","5.0","0.0","0.0","0.0","0.0","0.0",2
"Crossing accuracy","-",32.3,0,"40.0","0.0",0,"0.0","-",20,27.7,"-",33.3,"0.0",17.6,"0.0",33.3,"Crossing accuracy","-","-","-",16.7,"0.0",0,"23.5","21.7","-","-","-","0.0","-",50
"Assists","0.0",0,0,"0.0","1.0",0,"0.0","0.0",0,3,"0.0",0,"0.0",2,"0.0",1,"Assists","0.0","0.0","0.0",0,"0.0",2,"3.0","0.0","0.0","0.0","0.0","0.0","0.0",1
"Key Passes","0.0",17,5,"4.0","3.0",3,"3.0","0.0",17,17,"0.0",10,"1.0",9,"2.0",8,"Key Passes","0.0","1.0","1.0",11,"0.0",3,"15.0","4.0","0.0","0.0","0.0","1.0","1.0",2
"Penalties won","0.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Penalties won","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0
"Offsides","0.0",4,6,"1.0","0.0",1,"1.0","0.0",0,0,"0.0",1,"0.0",1,"1.0",0,"Offsides","0.0","1.0","0.0",0,"0.0",1,"3.0","4.0","0.0","0.0","0.0","0.0","0.0",0
"Tackles won","0.0",5,1,"0.0","1.0",6,"10.0","3.0",23,10,"1.0",15,"8.0",7,"4.0",23,"Tackles won","0.0","0.0","0.0",10,"0.0",1,"14.0","10.0","0.0","0.0","0.0","3.0","1.0",6
"Tackles success rate","-",83.3,25,"0.0","100.0",66.7,"50.0","60.0",71.9,55.6,"33.3",60,"72.7",58.3,"80.0",69.7,"Tackles success rate","-","-","0.0",62.5,"-",50,"77.8","71.4","-","-","-","37.5","100.0",66.7
"Clearances","12.0",5,2,"19.0","1.0",9,"87.0","0.0",20,9,"1.0",10,"34.0",5,"5.0",56,"Clearances","12.0","4.0","1.0",4,"0.0",3,"37.0","20.0","0.0","5.0","0.0","28.0","7.0",13
"Blocks","0.0",1,0,"2.0","1.0",0,"12.0","0.0",5,1,"0.0",1,"3.0",3,"0.0",6,"Blocks","0.0","0.0","0.0",0,"0.0",0,"8.0","1.0","0.0","0.0","0.0","4.0","0.0",0
"Interceptions","0.0",4,0,"2.0","0.0",0,"13.0","0.0",22,4,"4.0",14,"9.0",9,"2.0",11,"Interceptions","0.0","0.0","0.0",5,"0.0",3,"12.0","3.0","0.0","0.0","0.0","6.0","0.0",6
"Successful passes","202.0",184,74,"240.0","56.0",38,"1081.0","46.0",693,320,"37.0",572,"372.0",108,"94.0",716,"Successful passes","202.0","28.0","9.0",133,"10.0",134,"506.0","135.0","0.0","116.0","2.0","560.0","44.0",101
"Passing accuracy","76.2",79.7,77.9,"87.9","81.2",54.3,"90.8","92.0",89,79,"90.2",88.8,"88.6",76.6,"82.5",86.8,"Passing accuracy","76.2","77.8","69.2",70,"71.4",84.8,"80.1","68.2","-","66.3","50.0","90.5","93.6",76.5
"Passing accuracy in opponents' half (%)","36.8",65.1,70.2,"78.4","79.6",47.1,"77.5","86.2",80.9,67.2,"77.8",82.4,"81.1",61.7,"77.3",77.3,"Passing accuracy in opponents' half (%)","36.8","68.2","63.6",58,"44.4",77.5,"66.0","55.3","-","27.9","0.0","84.3","90.5",76.3
"Successful dribbles","0.0",20,0,"3.0","0.0",5,"1.0","1.0",6,21,"0.0",15,"2.0",4,"1.0",9,"Successful dribbles","0.0","1.0","1.0",6,"0.0",9,"7.0","2.0","0.0","1.0","0.0","4.0","0.0",3
"Fouls won","2.0",18,17,"3.0","1.0",13,"11.0","0.0",12,9,"1.0",20,"10.0",16,"3.0",19,"Fouls won","2.0","7.0","1.0",12,"1.0",14,"13.0","8.0","0.0","3.0","1.0","6.0","1.0",0
"Fouls conceded","0.0",8,13,"2.0","1.0",20,"15.0","1.0",31,10,"3.0",18,"8.0",16,"10.0",25,"Fouls conceded","0.0","7.0","1.0",13,"1.0",9,"12.0","14.0","0.0","0.0","0.0","5.0","5.0",8
"Penalties conceded","0.0",0,0,"0.0","0.0",0,"1.0","0.0",0,0,"0.0",0,"0.0",0,"1.0",1,"Penalties conceded","0.0","0.0","0.0",0,"0.0",0,"1.0","0.0","0.0","0.0","0.0","0.0","0.0",0
"Yellow cards","2.0",1,1,"0.0","1.0",1,"4.0","0.0",6,1,"0.0",4,"0.0",0,"2.0",4,"Yellow cards","2.0","1.0","0.0",1,"0.0",1,"3.0","1.0","0.0","0.0","0.0","2.0","0.0",1
"Red cards","0.0",1,1,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"Red cards","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","1.0",0
