"...1","Hugo Fauroux","Abdellatif Aboukoura","Kwame Awuah","Riley Bidois","Surafel Dagnachew","Robert Dambrot","Jacob Erlandson","Joshua Erlandson","Jeremy Garay","Aaron Hurge","Ryan Jack","Bibi Karamoko","Yanis Leerman","Wesley Leggett","Pedro Santos","Thomas McCabe","Ben Mines","Alex Nagy","Moses Nyeman","Ethan Pendleton","Keegan Tingey","Cole Turner","Florian Valot"
"Games played","18.0",16,18,18,"0.0","8.0","8.0","2.0","2.0","2.0","0.0","7.0",14,13,"10.0","17.0",18,"7.0","13.0","5.0",18,"11.0",18
"Minutes played","1620.0",1303,1548,702,"0.0","238.0","618.0","2.0","21.0","12.0","0.0","247.0",1192,642,"640.0","1479.0",701,"64.0","671.0","21.0",1569,"777.0",1618
"Starts","18.0",16,17,6,"0.0","1.0","7.0","0.0","0.0","0.0","0.0","3.0",14,8,"7.0","17.0",7,"0.0","8.0","0.0",18,"10.0",18
"Subbed on","0.0",0,1,12,"0.0","7.0","1.0","2.0","2.0","2.0","0.0","4.0",0,5,"3.0","0.0",11,"7.0","5.0","5.0",0,"1.0",0
"Subbed off","0.0",9,4,7,"0.0","1.0","1.0","0.0","0.0","0.0","0.0","3.0",0,8,"5.0","5.0",8,"0.0","6.0","0.0",2,"4.0",2
"Goals conceded","27.0",20,24,14,"0.0","7.0","7.0","0.0","0.0","0.0","0.0","5.0",21,10,"8.0","22.0",14,"0.0","14.0","0.0",24,"19.0",27
"Saves","52.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0
"Catches","18.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0
"Punches","11.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0
"Goals","0.0",11,1,4,"0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",1,2,"0.0","0.0",1,"0.0","1.0","0.0",2,"0.0",1
"Penalties","0.0",3,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0","0.0",1,"0.0",0
"Minutes per goal","-",118.5,1548,175.5,"-","-","618.0","-","-","-","-","-",1192,321,"-","-",701,"-","671.0","-",784.5,"-",1618
"Shots on target","0.0",20,3,10,"0.0","0.0","3.0","0.0","0.0","0.0","0.0","3.0",4,3,"1.0","2.0",7,"0.0","2.0","0.0",7,"0.0",8
"Shooting accuracy","-",66.7,50,58.8,"-","-","75.0","-","-","-","-","75.0",44.4,33.3,"11.1","22.2",77.8,"0.0","50.0","-",53.8,"0.0",44.4
"Successful crosses","0.0",3,9,0,"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0",0,3,"3.0","0.0",3,"1.0","0.0","0.0",6,"0.0",6
"Crossing accuracy","-",13.6,32.1,0,"-","50.0","-","-","-","-","-","-",0,20,"25.0","0.0",11.1,"33.3","-","-",23.1,"-",18.8
"Assists","0.0",1,2,0,"0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0",1,1,"1.0","0.0",3,"1.0","0.0","0.0",0,"1.0",6
"Key Passes","0.0",23,9,6,"0.0","2.0","0.0","0.0","0.0","0.0","0.0","3.0",3,3,"15.0","13.0",10,"1.0","2.0","0.0",7,"1.0",20
"Penalties won","0.0",1,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0",0,0,"1.0","0.0",0,"0.0","0.0","0.0",1,"0.0",0
"Offsides","0.0",2,2,2,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0",1,4,"0.0","0.0",0,"0.0","0.0","0.0",1,"1.0",1
"Tackles won","2.0",13,18,5,"0.0","3.0","5.0","0.0","0.0","0.0","0.0","3.0",5,4,"12.0","10.0",11,"2.0","6.0","1.0",11,"9.0",13
"Tackles success rate","100.0",68.4,69.2,55.6,"-","100.0","62.5","-","-","-","-","75.0",71.4,57.1,"48.0","58.8",64.7,"66.7","54.5","100.0",55,"81.8",61.9
"Clearances","29.0",8,52,6,"0.0","20.0","46.0","0.0","1.0","0.0","0.0","0.0",91,3,"6.0","22.0",6,"2.0","5.0","0.0",66,"35.0",21
"Blocks","0.0",0,1,1,"0.0","3.0","3.0","0.0","0.0","0.0","0.0","1.0",11,0,"2.0","3.0",2,"0.0","5.0","0.0",6,"7.0",0
"Interceptions","0.0",10,16,3,"0.0","2.0","6.0","0.0","0.0","0.0","0.0","1.0",14,5,"5.0","14.0",3,"2.0","8.0","0.0",10,"4.0",11
"Successful passes","392.0",394,647,105,"0.0","125.0","353.0","0.0","18.0","3.0","0.0","33.0",633,63,"247.0","872.0",149,"20.0","305.0","4.0",603,"425.0",633
"Passing accuracy","71.8",83.8,79.9,78.9,"-","83.3","86.3","0.0","85.7","100.0","-","66.0",86.8,67.7,"75.3","90.5",73.4,"74.1","87.6","57.1",80.2,"85.0",78.7
"Passing accuracy in opponents' half (%)","31.0",71.7,72.5,72.7,"-","75.0","84.3","-","80.0","100.0","-","70.3",75.4,60.4,"64.8","86.1",60,"60.0","85.4","50.0",70.5,"73.7",69.9
"Successful dribbles","0.0",30,7,6,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0",2,0,"4.0","2.0",4,"2.0","6.0","0.0",10,"2.0",4
"Fouls won","11.0",15,11,17,"0.0","2.0","7.0","0.0","1.0","1.0","0.0","12.0",4,30,"20.0","9.0",30,"5.0","14.0","2.0",9,"5.0",22
"Fouls conceded","2.0",9,17,23,"0.0","6.0","7.0","0.0","2.0","1.0","0.0","14.0",21,11,"12.0","16.0",15,"2.0","16.0","0.0",13,"14.0",11
"Penalties conceded","1.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,0,"0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",1
