"...1","Tristan Henry","Alejandro Araneda","Hope Avayevu","Alexander Balanzar De la Cruz","Pape Boye","Remi Cabral","Emil Cuello","Zachary DaSilva","Charlie Dennis","Giulio Doratiotto","Xian Emmers","Axel Essenque","Ryan Flood","Dariusz Formella","Anthony Hernandez","Darius Johnson","Darnell King","Cyrus Kowall","Jearl Margaritha","Braxton Montgomery","Harvey Neville","Noble Okello","Jamison Ping","Patrick Rakovsky","Damian Rivera","Pierce Rizzo","Ihsan Sacko","Carl-Fred Sainte","John Scearce","Tristan Shaw","Collin Smith","Mohamed Traore","Jan Villegas","Casey Walls"
"Games played","3.0","1.0",18,"0.0","7.0",10,12,"0.0",8,"1.0","7.0",11,10,17,"0.0",14,"1.0","3.0",11,"16.0","7.0",15,"10.0","15.0",11,"3.0",18,"13.0","12.0","0.0",16,"6.0","0.0","2.0"
"Minutes played","270.0","1.0",1468,"0.0","518.0",718,590,"0.0",360,"1.0","309.0",981,602,968,"0.0",505,"21.0","70.0",661,"1088.0","442.0",1139,"231.0","1350.0",552,"155.0",1179,"866.0","942.0","0.0",1395,"389.0","0.0","107.0"
"Starts","3.0","0.0",17,"0.0","6.0",9,6,"0.0",3,"0.0","4.0",11,7,11,"0.0",3,"0.0","1.0",8,"13.0","5.0",14,"2.0","15.0",6,"2.0",13,"10.0","10.0","0.0",15,"4.0","0.0","1.0"
"Subbed on","0.0","1.0",1,"0.0","1.0",1,6,"0.0",5,"1.0","3.0",0,3,6,"0.0",11,"1.0","2.0",3,"3.0","2.0",1,"8.0","0.0",5,"1.0",5,"3.0","2.0","0.0",1,"2.0","0.0","1.0"
"Subbed off","0.0","0.0",11,"0.0","0.0",7,3,"0.0",2,"0.0","4.0",1,4,6,"0.0",1,"0.0","1.0",4,"4.0","3.0",6,"2.0","0.0",5,"2.0",7,"3.0","1.0","0.0",0,"0.0","0.0","1.0"
"Goals conceded","7.0","0.0",28,"0.0","13.0",13,16,"0.0",9,"0.0","9.0",17,11,18,"0.0",15,"1.0","2.0",10,"17.0","14.0",19,"3.0","26.0",12,"6.0",26,"18.0","15.0","0.0",24,"8.0","0.0","5.0"
"Saves","10.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","39.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Catches","3.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","8.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","10.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0",5,"0.0","0.0",3,1,"0.0",3,"0.0","0.0",1,1,1,"0.0",1,"0.0","0.0",3,"0.0","0.0",2,"0.0","0.0",2,"0.0",4,"0.0","1.0","0.0",1,"1.0","0.0","0.0"
