"...1","Eric Dick
Pittsburgh Riverhounds SC","Charles Ahl
Pittsburgh Riverhounds SC","Perrin Barnes
Pittsburgh Riverhounds SC","Luke Biasi
Pittsburgh Riverhounds SC","Chase Boone
Pittsburgh Riverhounds SC","Jason Bouregy
Pittsburgh Riverhounds SC","Max Broughton
Pittsburgh Riverhounds SC","Brunallergene Etou
Pittsburgh Riverhounds SC","Jorge Garcia
Pittsburgh Riverhounds SC","Daniel Griffin
Pittsburgh Riverhounds SC","Bertin Jacquesson
Pittsburgh Riverhounds SC","Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC","Aidan O'Toole
Pittsburgh Riverhounds SC","Abdul Illal Osumanu
Pittsburgh Riverhounds SC","Jacob Randolph
Pittsburgh Riverhounds SC","Bradley Sample
Pittsburgh Riverhounds SC","Sean Suber
Pittsburgh Riverhounds SC","Guillaume Vacter
Pittsburgh Riverhounds SC","Jackson Walti
Pittsburgh Riverhounds SC","Augustine Williams
Pittsburgh Riverhounds SC","Roberto Ydrach
Pittsburgh Riverhounds SC"
"Games played","21.0",13,16,"20.0","2.0","10.0","0.0","29.0",3,29,4,"9.0","3.0","0.0",20,"9.0","9.0","0.0",18,"21.0",14,"21.0",21,"20.0"
"Minutes played","1890.0",573,1423,"1633.0","67.0","283.0","0.0","15.0",8,28,9,"49.0","12.0","0.0",1572,"271.0","497.0","0.0",763,"1890.0",1260,"1783.0",1675,"1622.0"
"Starts","21.0",5,16,"20.0","0.0","3.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",19,"3.0","6.0","0.0",10,"21.0",14,"20.0",21,"18.0"
"Subbed on","0.0",8,0,"0.0","2.0","7.0","0.0","1.0",1,5,1,"9.0","3.0","0.0",1,"6.0","3.0","0.0",8,"0.0",0,"1.0",0,"2.0"
"Subbed off","0.0",5,5,"9.0","0.0","3.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",16,"3.0","4.0","0.0",10,"0.0",0,"4.0",12,"7.0"
"Goals conceded","19.0",4,13,"14.0","0.0","3.0","5.0","8.0",3,18,6,"2.0","0.0","0.0",15,"5.0","6.0","0.0",7,"19.0",10,"18.0",15,"18.0"
"Saves","48.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Catches","20.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Punches","1.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Goals","0.0",1,1,"0.0","0.0","0.0","0.0","0.0",1,4,1,"0.0","0.0","0.0",4,"0.0","0.0","0.0",1,"0.0",1,"0.0",5,"0.0"
"Penalties","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",1,"0.0"
"Minutes per goal","-",573,1423,"-","-","-","-","-",204,455.5,658,"-","-","-",393,"-","-","-",763,"-",1260,"-",335,"-"
"Shots on target","0.0",6,1,"0.0","0.0","2.0","0.0","1.0",1,10,5,"0.0","0.0","0.0",11,"0.0","0.0","0.0",2,"2.0",1,"4.0",16,"4.0"
"Shooting accuracy","-",54.5,50,"0.0","-","66.7","-","50.0",25,43.5,38.5,"-","-","-",73.3,"0.0","-","-",33.3,"22.2",25,"57.1",61.5,"44.4"
"Successful crosses","0.0",7,8,"12.0","2.0","0.0","0.0","6.0",0,2,3,"0.0","0.0","0.0",9,"2.0","0.0","0.0",1,"2.0",2,"4.0",1,"3.0"
"Crossing accuracy","-",28,27.6,"34.3","33.3","0.0","-","16.7",0,20,25,"-","0.0","-",28.1,"22.2","-","-",12.5,"66.7",28.6,"23.5",6.7,"15.0"
"Assists","0.0",0,0,"2.0","1.0","0.0","0.0","2.0",0,1,0,"0.0","0.0","0.0",1,"0.0","0.0","0.0",0,"1.0",0,"0.0",0,"2.0"
"Key Passes","0.0",9,13,"12.0","4.0","0.0","0.0","3.0",2,15,4,"3.0","0.0","0.0",33,"3.0","0.0","0.0",6,"7.0",8,"8.0",7,"7.0"
"Penalties won","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Offsides","0.0",1,0,"2.0","0.0","0.0","0.0","0.0",1,4,4,"0.0","0.0","0.0",2,"1.0","0.0","0.0",0,"1.0",0,"0.0",29,"0.0"
"Tackles won","0.0",5,17,"35.0","0.0","2.0","1.0","15.0",2,16,3,"0.0","1.0","0.0",19,"3.0","3.0","0.0",8,"15.0",20,"20.0",10,"20.0"
"Tackles success rate","0.0",71.4,65.4,"81.4","-","100.0","100.0","88.2",100,72.7,60,"-","33.3","-",54.3,"60.0","60.0","-",57.1,"71.4",80,"58.8",55.6,"71.4"
"Clearances","17.0",3,47,"51.0","1.0","4.0","15.0","31.0",1,25,2,"1.0","0.0","0.0",5,"7.0","30.0","0.0",13,"136.0",67,"27.0",8,"80.0"
"Blocks","0.0",0,5,"7.0","0.0","0.0","1.0","0.0",0,2,1,"0.0","0.0","0.0",0,"1.0","3.0","0.0",1,"5.0",6,"3.0",3,"11.0"
"Interceptions","0.0",4,14,"14.0","0.0","2.0","0.0","8.0",0,20,0,"0.0","0.0","0.0",5,"1.0","5.0","0.0",7,"14.0",19,"28.0",5,"20.0"
"Successful passes","199.0",182,313,"572.0","12.0","68.0","43.0","201.0",49,488,65,"17.0","1.0","0.0",470,"66.0","227.0","0.0",220,"1012.0",508,"658.0",179,"678.0"
"Passing accuracy","49.6",77.1,76,"75.1","70.6","78.2","67.2","71.8",73.1,77.1,59.1,"56.7","50.0","-",83.2,"78.6","80.2","-",78.6,"82.3",77.4,"80.2",68.3,"73.8"
"Passing accuracy in opponents' half (%)","26.3",61.6,66.2,"65.9","55.0","61.8","60.5","58.7",60.8,69.7,58,"57.1","0.0","-",68,"67.2","64.9","-",68.6,"70.8",63.9,"68.9",59.3,"59.5"
"Successful dribbles","0.0",5,9,"15.0","0.0","2.0","1.0","6.0",3,9,6,"0.0","0.0","0.0",12,"4.0","1.0","0.0",4,"7.0",3,"11.0",16,"5.0"
"Fouls won","5.0",17,18,"25.0","2.0","3.0","0.0","29.0",3,29,4,"1.0","0.0","0.0",29,"7.0","0.0","0.0",11,"4.0",8,"13.0",34,"17.0"
"Fouls conceded","1.0",6,19,"26.0","3.0","3.0","0.0","15.0",8,28,9,"5.0","2.0","0.0",23,"6.0","13.0","0.0",12,"9.0",22,"24.0",45,"20.0"
"Penalties conceded","1.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Yellow cards","0.0",0,3,"8.0","0.0","0.0","0.0","1.0",1,5,1,"0.0","0.0","0.0",2,"1.0","1.0","0.0",3,"1.0",2,"3.0",5,"4.0"
"Red cards","0.0",0,0,"1.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
