"...1","Ethan Bandré
Tampa Bay Rowdies","Luis Alvarez
Tampa Bay Rowdies","Manuel Arteaga
Tampa Bay Rowdies","Juan Azócar
Tampa Bay Rowdies","Ollie Bassett
Tampa Bay Rowdies","Blake Bodily
Tampa Bay Rowdies","Nicolás Campisi
Tampa Bay Rowdies","Robert Castellanos
Tampa Bay Rowdies","Daniel Crisostomo
Tampa Bay Rowdies","Matheus De Jesus
Tampa Bay Rowdies","Leo Fernandes
Tampa Bay Rowdies","Aarón Guillén
Tampa Bay Rowdies","Lewis Hilton
Tampa Bay Rowdies","Forrest Lasso
Tampa Bay Rowdies","Cameron MacPherson
Tampa Bay Rowdies","Nick Moon
Tampa Bay Rowdies","Endri Mustali
Tampa Bay Rowdies","Pacifique Niyongabire
Tampa Bay Rowdies","Woobens Pacius
Tampa Bay Rowdies","Alexander Rodriguez
Tampa Bay Rowdies","Joseph Skinner
Tampa Bay Rowdies","Thomas Vancaeyezeele
Tampa Bay Rowdies","Nathan Worth
Tampa Bay Rowdies","Laurence Wyke
Tampa Bay Rowdies"
"Games played","8.0",6,17,"1.0",17,14,"9.0","16.0",15,"1.0",9,17,"11.0","10.0","6.0",13,"9.0",7,17,"2.0",10,"14.0","6.0",15
"Minutes played","720.0",456,1105,"27.0",1209,1079,"810.0","1275.0",1199,"1.0",518,1402,"758.0","612.0","538.0",369,"121.0",552,1312,"77.0",199,"1068.0","150.0",1240
"Starts","8.0",5,13,"0.0",14,14,"9.0","14.0",14,"0.0",6,15,"8.0","7.0","6.0",4,"1.0",6,15,"1.0",0,"12.0","1.0",14
"Subbed on","0.0",1,4,"1.0",3,0,"0.0","2.0",1,"1.0",3,2,"3.0","3.0","0.0",9,"8.0",1,2,"1.0",10,"2.0","5.0",1
"Subbed off","0.0",4,6,"0.0",5,8,"0.0","2.0",6,"0.0",5,2,"2.0","0.0","1.0",4,"1.0",2,7,"1.0",0,"5.0","0.0",2
"Goals conceded","9.0",5,18,"0.0",23,16,"17.0","20.0",18,"0.0",14,24,"10.0","13.0","9.0",8,"1.0",12,19,"1.0",2,"17.0","6.0",22
"Saves","19.0",0,0,"0.0",0,0,"24.0","0.0",0,"0.0",0,0,"0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0","0.0",0
"Catches","11.0",0,0,"0.0",0,0,"4.0","0.0",0,"0.0",0,0,"0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0","0.0",0
"Punches","4.0",0,0,"0.0",0,0,"4.0","0.0",0,"0.0",0,0,"0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0","0.0",0
"Goals","0.0",1,3,"0.0",1,1,"0.0","0.0",1,"0.0",1,1,"0.0","0.0","0.0",1,"0.0",1,7,"0.0",1,"0.0","0.0",1
"Penalties","0.0",0,0,"0.0",0,0,"0.0","0.0",0,"0.0",1,0,"0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0","0.0",0
"Minutes per goal","-",456,368.3,"-",1209,1079,"-","-",1199,"-",518,1402,"-","-","-",369,"-",552,187.4,"-",199,"-","-",1240
"Shots on target","0.0",1,9,"0.0",9,4,"0.0","0.0",2,"0.0",4,3,"1.0","2.0","4.0",3,"0.0",4,11,"0.0",1,"2.0","1.0",1
"Shooting accuracy","-",16.7,30,"-",69.2,40,"-","0.0",66.7,"-",50,50,"20.0","100.0","40.0",60,"0.0",40,44,"0.0",50,"66.7","100.0",50
"Successful crosses","0.0",1,1,"0.0",3,8,"0.0","0.0",0,"0.0",2,7,"4.0","0.0","4.0",1,"0.0",5,3,"2.0",1,"2.0","1.0",7
