"stadium_id","name","city","capacity","surface"
30,"Protective Stadium","Birmingham, AL",NA,NA
31,"Patriots Point Soccer Complex","Charleston, SC",NA,NA
32,"Weidner Field","Colorado Springs, CO",NA,NA
33,"Keyworth Stadium","Detroit, MI",NA,NA
34,"ONEOK Field","Tulsa, OK",NA,NA
35,"Southwest University Park","El Paso, TX",NA,NA
36,"Trinity Health Stadium","Hartford, CT",NA,NA
37,"IU Michael A. Carroll Track & Soccer Stadium","Indianapolis, IN",NA,NA
38,"Cashman Field","Las Vegas, NV",NA,NA
39,"Lexington SC Stadium","Lexington, KY",NA,NA
40,"Segra Field","Leesburg, VA",NA,NA
41,"Lynn Family Stadium","Louisville, KY",NA,NA
42,"Pitbull Stadium","Miami, FL",NA,NA
43,"Cardinale Stadium","Monterey, CA",NA,NA
44,"First Horizon Stadium at WakeMed Soccer Park","Cary, NC",NA,NA
45,"Rio Grande Credit Union Field at Isotopes Park","Albuquerque, NM",NA,NA
46,"Oakland Coliseum","Oakland, CA",NA,NA
47,"Championship Soccer Stadium","Orange County, CA",NA,NA
48,"Phoenix Rising Soccer Stadium","Phoenix, AZ",NA,NA
49,"Highmark Stadium","Pittsburgh, PA",NA,NA
50,"Tidewater Landing Stadium","Pawtucket, RI",NA,NA
51,"Heart Health Park","Sacramento, CA",NA,NA
52,"Toyota Field","San Antonio, TX",NA,NA
53,"Al Lang Stadium","Tampa, FL",NA,NA
